date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2002-01-01,-13.6,-17.5,-8.9,0,,,,,,
2002-01-02,-5.4,-9,-2.7,0,,,,,,
2002-01-03,-3.7,-6.6,-0.6,0,,,,,,
2002-01-04,-8.3,-10.2,-5.2,0,,,,,,
2002-01-05,-5.4,-7.1,-3.3,0,,,,,,
2002-01-06,-2.8,-4.4,-0.8,0,,,,,,
2002-01-07,-6.3,-10.5,-3.2,0,,,,,,
2002-01-08,-6.3,-11.1,-2.3,0,,,,,,
2002-01-09,-4.5,-6.4,-2.5,0,,,,,,
2002-01-10,-5.6,-7.2,-2.9,0,,,,,,
2002-01-11,-7.6,-9.6,-5.7,0,,,,,,
2002-01-12,-6.3,-8.5,-2.6,0,,,,,,
2002-01-13,-4.7,-6.8,-3,0,,,,,,
2002-01-14,-7.5,-9.4,-6.3,0,,,,,,
2002-01-15,-8.5,-10.3,-6.6,0,,,,,,
2002-01-16,-9.4,-11.5,-7.8,0.5,,,,,,
2002-01-17,-9.7,-13.7,-6.1,0,,,,,,
2002-01-18,-7.5,-9.7,-4.7,0,,,,,,
2002-01-19,-5.7,-9.1,-2.3,0,,,,,,
2002-01-20,-4.8,-9.3,-0.5,0,,,,,,
2002-01-21,-0.3,-3,2.3,0,,,,,,
2002-01-22,-5.3,-8,-1.6,0,,,,,,
2002-01-23,-7.1,-7.9,-6.2,20.2,,,,,,
2002-01-24,-6.4,-7.8,-5,18.3,,,,,,
2002-01-25,-4.6,-7.5,1.2,4.1,,,,,,
2002-01-26,-1.2,-6,1.8,0.9,,,,,,
2002-01-27,-1.6,-5.1,1.1,34.6,,,,,,
2002-01-28,-0.5,-3,4,0,,,,,,
2002-01-29,1.1,-1.1,5.7,0,,,,,,
2002-01-30,2.6,-1.4,5.8,0,,,,,,
2002-01-31,-2,-5.6,0.6,0,,,,,,
2002-02-01,-3.8,-6.5,-1.4,0,,,,,,
2002-02-02,-2.1,-3.9,-0.1,0,,,,,,
2002-02-03,-3.6,-5.6,-1.4,0,,,,,,
2002-02-04,-3.7,-6,-1.1,0,,,,,,
2002-02-05,-2.6,-6.6,0.7,9.5,,,,,,
2002-02-06,-6.9,-8.7,-5.8,108.3,,,,,,
2002-02-07,-8.2,-10,-4.6,2.1,,,,,,
2002-02-08,-2.4,-5.8,0.6,0.5,,,,,,
2002-02-09,-1.2,-4.9,2.6,28.9,,,,,,
2002-02-10,-6.6,-8.5,-2.1,2.1,,,,,,
2002-02-11,-2.8,-8.1,1.9,0.1,,,,,,
2002-02-12,-1.8,-3.6,0.8,0,,,,,,
2002-02-13,-3.2,-8,-0.9,0,,,,,,
2002-02-14,-4.8,-6.8,-1.7,23,,,,,,
2002-02-15,-6.3,-7.6,-4.8,17.5,,,,,,
2002-02-16,-8.3,-9.3,-7.1,4.3,,,,,,
2002-02-17,-8.6,-10.1,-7.2,1,,,,,,
2002-02-18,-8.9,-10.5,-7.5,0.8,,,,,,
2002-02-19,-9.7,-11.4,-7.6,0.3,,,,,,
2002-02-20,-7.2,-10.6,-5.1,50.2,,,,,,
2002-02-21,-11.9,-15.9,-6.7,0.9,,,,,,
2002-02-22,-7.6,-14.3,-3.4,3.4,,,,,,
2002-02-23,-5.8,-8.1,-4,39.4,,,,,,
2002-02-24,-10,-12.1,-6.4,15,,,,,,
2002-02-25,-5.9,-7.3,-3.6,2.4,,,,,,
2002-02-26,-1.6,-3.9,1.2,19.6,,,,,,
2002-02-27,-2.3,-3.6,-1,19.3,,,,,,
2002-02-28,-6.2,-9.6,-3.6,1.3,,,,,,
2002-03-01,-6.4,-8.8,-5.3,23.1,,,,,,
2002-03-02,-5.8,-8.5,-3.9,47,,,,,,
2002-03-03,-8.8,-10.2,-6.9,6.5,,,,,,
2002-03-04,-5.2,-8.8,-2.7,0,,,,,,
2002-03-05,-4.8,-6.1,-3.5,8,,,,,,
2002-03-06,-2.6,-4.7,-0.7,4.5,,,,,,
2002-03-07,-1.7,-3.8,0.4,0,,,,,,
2002-03-08,-0.1,-4.4,4.2,0,,,,,,
2002-03-09,-2.2,-4.7,1.1,0.2,,,,,,
2002-03-10,-3.2,-7.5,0.3,0,,,,,,
2002-03-11,-4,-5.9,-0.3,0,,,,,,
2002-03-12,-2.7,-4.7,0.2,0,,,,,,
2002-03-13,-1.2,-4,1.9,0.7,,,,,,
2002-03-14,-4.1,-5.8,-2.4,8.7,,,,,,
2002-03-15,-4.7,-6.1,-3.7,2.2,,,,,,
2002-03-16,-4.2,-5.8,-2.5,0,,,,,,
2002-03-17,-3.5,-5.3,-1.3,0,,,,,,
2002-03-18,-2.8,-6.3,-0.2,8.9,,,,,,
2002-03-19,-0.6,-2.7,1.3,43,,,,,,
2002-03-20,-0.1,-2.5,1.6,0,,,,,,
2002-03-21,-0.1,-3,3,49.2,,,,,,
2002-03-22,-3.6,-5.3,-1.5,48.9,,,,,,
2002-03-23,-8.1,-11,-4.9,3.5,,,,,,
2002-03-24,-10.6,-12.9,-7.8,0,,,,,,
2002-03-25,-9.6,-11.2,-7.4,0,,,,,,
