date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,9.5,6.9,15.8,,,324,4.9,16.7,1027,
2022-01-02,7.5,4.5,10.5,,,322,4.5,13,1025.9,
2022-01-03,5.5,2.3,9.2,,,328,5,14.8,1020.5,
2022-01-04,5,3.4,7.8,,,303,3.6,11.1,1012.5,
2022-01-05,5,3.6,6.9,,,317,14.7,74.1,1005.7,
2022-01-06,4.2,-0.4,7.1,,,328,19.6,68.5,1016,
2022-01-07,-0.5,-3.2,2.4,,,331,5.2,14.8,1021.7,
2022-01-08,0.7,-2.6,5.7,,,324,5.9,22.2,1015.4,
2022-01-09,1.5,-1.3,4.9,,,318,6.9,29.6,1007.5,
2022-01-10,2.6,-1.1,7,,,330,13,51.8,1015.1,
2022-01-11,3.8,-0.3,7.2,,,331,8.2,27.8,1024.5,
2022-01-12,0.3,-2.8,4.9,,,327,7.2,16.7,1032.8,
2022-01-13,0.6,-1.9,4.9,,,321,5.3,13,1038,
2022-01-14,4.2,0.1,9.2,,,320,5.4,13,1033.8,
2022-01-15,6.2,3.6,12.1,,,319,4.9,11.1,1026.3,
2022-01-16,4,2,7.2,,,318,6.8,33.3,1026.4,
2022-01-17,8.3,5.1,12.1,,,336,13.2,44.5,1029,
2022-01-18,5.7,1,8.9,,,327,6.4,38.9,1033.4,
2022-01-19,2.3,-0.1,6.8,,,331,5,13,1031.8,
2022-01-20,4.3,-0.1,8.9,,,335,14.9,51.8,1023.3,
2022-01-21,5,2.7,7.1,,,333,20.4,57.4,1025.5,
2022-01-22,6.9,2.7,10.7,,,329,13.6,50,1027.4,
2022-01-23,4.4,0.3,7.7,,,319,5.7,16.7,1030.3,
2022-01-24,2,0.2,6.7,,,325,5.7,14.8,1032.1,
2022-01-25,1.2,-1.5,5.4,,,322,5.7,14.8,1034,
2022-01-26,3.1,-0.3,8.4,,,328,6.3,20.4,1029.3,
2022-01-27,5,2.5,9.3,,,318,5.8,16.7,1027.1,
2022-01-28,8.7,4.8,11.6,,,334,21.1,59.3,1028.7,
2022-01-29,5.9,3.9,9,,,321,7.6,42.6,1030.2,
2022-01-30,10.8,5.3,15.9,,,330,17,57.4,1021.6,
2022-01-31,6.3,3.2,9.2,,,335,13.5,48.2,1013.9,
2022-02-01,5.8,3.3,8.2,,,333,21.8,57.4,1018.1,
2022-02-02,7,4.4,9.6,,,328,13.3,42.6,1017.7,
2022-02-03,8.5,4,11.6,,,317,8.5,40.8,1021.1,
2022-02-04,4.2,1.3,8.5,,,319,4.8,13,1019.2,
2022-02-05,5.4,1.9,11.1,,,327,8.7,31.5,1020.9,
2022-02-06,3.5,0.3,7.3,,,307,4.7,14.8,1022,
2022-02-07,5.3,2.4,8.7,,,327,19.1,68.5,1018.7,
