date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,11.3,8.8,13.8,,,108,10.6,33.3,1024.8,
2023-01-02,11.1,8.7,14.1,,,146,12.1,55.5,1024.7,
2023-01-03,8.3,4.7,10.4,,,281,4,18.5,1031.3,
2023-01-04,6.5,3.5,9.2,,,161,4.7,16.7,1033.4,
2023-01-05,7.3,4.7,10.1,,,166,5.2,24.1,1029.6,
2023-01-06,5.4,2.8,8.3,,,189,5.1,22.2,1026.7,
2023-01-07,3.6,0.4,7.5,,,172,5.4,14.8,1020.7,
2023-01-08,5.7,1.6,8.1,,,150,14,53.7,1010.5,
2023-01-09,5.6,3.5,7.5,,,189,9.5,40.8,1011.9,
2023-01-10,4.4,2.5,7,,,259,7.2,33.3,1025.7,
2023-01-11,5.1,4.2,6.4,,,151,11.2,35.2,1024.4,
2023-01-12,4.5,2.3,7.3,,,166,7.1,25.9,1026.5,
2023-01-13,5.6,2.9,7.8,,,175,6.6,25.9,1023.2,
2023-01-14,6.3,3.1,8.7,,,148,10.3,35.2,1022.4,
2023-01-15,5.9,0.9,7.6,,,142,10.9,37,1014.4,
2023-01-16,2.7,0.5,4.5,,,141,19.9,55.5,999.9,
2023-01-17,1.2,0.9,1.9,,,157,12,37,989.3,
2023-01-18,0.7,-0.5,1.6,,,231,8,38.9,997.8,
2023-01-19,-2.3,-5.3,0.5,,,192,5.5,13,1011.6,
2023-01-20,-4.3,-6.8,-0.9,,,185,5.6,16.7,1018.4,
2023-01-21,-3.4,-5.5,-0.6,,,227,8.2,22.2,1022.3,
2023-01-22,-3.4,-6.2,-0.7,,,203,6,24.1,1025.4,
2023-01-23,-2.7,-4.5,-0.6,,,187,7.3,27.8,1026.9,
2023-01-24,-2,-5.8,2.1,,,207,4.6,14.8,1031.5,
2023-01-25,-2,-5.2,1.4,,,233,3.6,13,1030.6,
2023-01-26,-0.4,-1.6,1.9,,,241,4.6,16.7,1021.2,
2023-01-27,-0.4,-2.2,1.7,,,321,5.8,20.4,1018.3,
2023-01-28,-1,-3.5,1.7,,,225,5,20.4,1022.5,
2023-01-29,-1.2,-2.8,1.4,,,197,4.5,14.8,1029,
2023-01-30,-1,-4,2.3,,,174,5,14.8,1029.5,
2023-01-31,0.4,-3.4,4.3,,,203,5.2,14.8,1031,
2023-02-01,1.9,-0.5,5.6,,,199,4.6,14.8,1030.6,
2023-02-02,2.9,-0.8,7,,,177,4.6,14.8,1033.2,
