date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,-1.7,-2.9,-0.2,0,,,,,,
2012-01-02,-5.3,-8.3,-1.8,33.5,,,,,,
2012-01-03,-5.2,-11,0.6,1.7,,,,,,
2012-01-04,-7.1,-11.2,-2.1,26.5,,,,,,
2012-01-05,-6,-9.8,-3.4,115,,,,,,
2012-01-06,-11.4,-13.5,-8.6,18.2,,,,,,
2012-01-07,-8.6,-12.2,-6.1,10.3,,,,,,
2012-01-08,-7.6,-10.3,-6.1,9.5,,,,,,
2012-01-09,-9.4,-11.5,-7.2,0,,,,,,
2012-01-10,-4.6,-11,-0.3,0,,,,,,
2012-01-11,-1.2,-2.7,0.5,0,,,,,,
2012-01-12,-1.3,-3.9,2.1,0,,,,,,
2012-01-13,-6.6,-9.9,-2.6,0,,,,,,
2012-01-14,-7.6,-8.9,-4.8,0,,,,,,
2012-01-15,-5.8,-7.5,-3.9,0,,,,,,
2012-01-16,-7.7,-9,-4.5,0,,,,,,
2012-01-17,-6.9,-9.1,-4.5,0,,,,,,
2012-01-18,-4.3,-6.2,-2.5,0,,,,,,
2012-01-19,-3.1,-5,-1.7,14.6,,,,,,
2012-01-20,-6.7,-9.1,-2.3,145.7,,,,,,
2012-01-21,-5.1,-7.6,-2.8,17,,,,,,
2012-01-22,-3.5,-4.9,-2,0,,,,,,
2012-01-23,-4.9,-8.5,-2.7,3.6,,,,,,
2012-01-24,-9.1,-10,-7.7,14.7,,,,,,
2012-01-25,-6,-9.3,-4.6,1.7,,,,,,
2012-01-26,-4.9,-7,-3,0,,,,,,
2012-01-27,-6.8,-7.8,-5.8,0.9,,,,,,
2012-01-28,-9.8,-10.6,-7.3,10.9,,,,,,
2012-01-29,-10.9,-11.6,-10.1,2.8,,,,,,
2012-01-30,-11.2,-13.6,-8.9,5.5,,,,,,
2012-01-31,-15.1,-16.8,-12.3,4.3,,,,,,
2012-02-01,-14.1,-18.9,-12.2,0,,,,,,
2012-02-02,-16.1,-18.7,-13.4,0,,,,,,
2012-02-03,-19.3,-23.4,-16.4,1.8,,,,,,
2012-02-04,-22.8,-25.2,-20.1,0,,,,,,
2012-02-05,-17.2,-22.6,-14.1,0,,,,,,
2012-02-06,-19.4,-21.5,-16.9,0,,,,,,
2012-02-07,-14.6,-22.1,-8.7,0,,,,,,
2012-02-08,-8.4,-9.4,-6.6,0.6,,,,,,
2012-02-09,-11.5,-18.6,-6.8,0,,,,,,
