date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,4.4,2.4,8.4,,,322,5.2,11.1,1033.1,
2020-01-02,2.9,1,7.1,,,327,5.2,14.8,1033.8,
2020-01-03,3.6,1.3,8.1,,,318,5.1,14.8,1029.3,
2020-01-04,7.7,3.3,12.2,,,330,12.3,48.2,1027,
2020-01-05,8.3,4,13,,,328,11.3,50,1029,
2020-01-06,3,1,6.3,,,323,5,13,1031.8,
2020-01-07,2.6,-0.6,8.2,,,327,7.2,25.9,1028.7,
2020-01-08,3.2,0.2,7.7,,,322,4.9,13,1032.6,
2020-01-09,3.8,1.4,7.5,,,329,4.4,11.1,1028.6,
2020-01-10,3.1,1,7.5,,,328,4.9,13,1026.1,
2020-01-11,5.1,2.3,9.1,,,324,6.1,27.8,1030.1,
2020-01-12,2.7,0.5,7.3,,,325,5.3,13,1030.5,
2020-01-13,2,-0.2,6.5,,,324,5.1,13,1026.8,
2020-01-14,1.1,-1.5,5.3,,,327,4.7,13,1026,
2020-01-15,2.7,0.5,7.3,,,331,4.7,13,1028.4,
2020-01-16,3,-0.1,7.7,,,327,5.1,13,1031.6,
2020-01-17,3.1,1,6.8,,,339,4.4,13,1027.4,
2020-01-18,4.8,2.8,9.2,,,330,10.3,40.8,1025.4,
2020-01-19,3,0.7,7.4,,,330,9.3,44.5,1030.5,
2020-01-20,0,-2.3,3.8,,,320,5.5,16.7,1042.2,
2020-01-21,0.4,-2.6,5.3,,,329,5.1,11.1,1042.9,
2020-01-22,3.1,1.1,7.8,,,326,5.2,13,1035.7,
2020-01-23,3.2,0.9,7.1,,,320,5.1,13,1032,
2020-01-24,2.4,-0.3,6.3,,,329,4.8,11.1,1028.8,
2020-01-25,2.9,0,6.2,,,337,4.1,13,1025.1,
2020-01-26,2.8,1.2,6.6,,,336,4.6,13,1022.6,
2020-01-27,3.2,0,7.1,,,308,4.5,13,1019.3,
2020-01-28,2.3,1.2,3.2,,,305,3.9,14.8,1010.4,
2020-01-29,2.3,0.3,5.3,,,323,5.1,16.7,1013.9,
2020-01-30,3.2,0.3,6.9,,,321,4.8,13,1020.2,
2020-01-31,5.1,1.9,10.2,,,336,4.2,13,1019.6,
2020-02-01,5.1,2.4,8.7,,,341,4.8,13,1019.7,
2020-02-02,7.4,4.6,10.7,,,318,5.5,24.1,1019.2,
2020-02-03,12.6,8.2,19.3,,,335,12.7,53.7,1017.3,
2020-02-04,7.9,3.6,12,,,328,14.8,55.5,1012.8,
2020-02-05,5.7,2.3,8.9,,,336,25,68.5,1025.2,
2020-02-06,3.1,0.4,6.2,,,318,7,44.5,1030.1,
2020-02-07,2.8,-0.4,7.5,,,324,5.5,14.8,1027.7,
2020-02-08,2.7,-0.2,6.8,,,329,4.9,13,1029.1,
2020-02-09,2.9,-0.4,7.7,,,309,5.2,16.7,1029.5,
2020-02-10,5.3,3.4,8.3,,,300,5.1,20.4,1017.4,
2020-02-11,8.3,5.3,11.8,,,329,13.5,38.9,1013,
2020-02-12,6.2,1.8,10.2,,,331,12.1,46.3,1020.3,
2020-02-13,3.8,-0.5,7.7,,,259,5.7,25.9,1019.8,
2020-02-14,6.3,1.6,13.1,,,333,9.5,42.6,1020.5,
2020-02-15,5.3,1.6,9.7,,,322,5.4,14.8,1028.7,
2020-02-16,6,2.3,10.7,,,311,5.2,14.8,1027.3,
2020-02-17,6.4,3.5,9.5,,,318,4.4,14.8,1025.3,
2020-02-18,7.7,4.1,13.8,,,331,8.4,33.3,1025.3,
2020-02-19,4.8,0.2,9.2,,,329,7.9,31.5,1024,
2020-02-20,5.2,1.6,10,,,319,6.3,25.9,1024.8,
2020-02-21,7.5,1.8,15.7,,,334,10.7,46.3,1025.1,
2020-02-22,7.3,3,12.6,,,310,6.1,18.5,1030.1,
2020-02-23,8.6,3.7,13.9,,,295,6.2,22.2,1027.1,
2020-02-24,12,7.8,18.8,,,311,7.8,27.8,1020.4,
2020-02-25,7.9,5.9,10.3,,,258,5.1,16.7,1011.1,
2020-02-26,5.6,2,9.3,,,326,10.1,38.9,1003.5,
2020-02-27,0.9,-1.9,3.3,,,302,5.9,24.1,1011.6,
2020-02-28,4.1,0.2,9.1,,,330,14.2,53.7,1016.1,
2020-02-29,4.1,1.7,7.4,,,264,5,24.1,1016.5,
2020-03-01,4.8,2,8.2,,,215,4.9,20.4,1007.1,
2020-03-02,2.5,0.8,4.3,,,294,4.5,16.7,999.5,
2020-03-03,5.4,1.7,8.4,,,332,18.4,51.8,1000.9,
2020-03-04,5.1,1.4,9.3,,,337,9.8,35.2,1012.7,
2020-03-05,2.6,1.6,3.6,,,243,5.1,16.7,1010.7,
2020-03-06,4.7,0.6,8.7,,,330,7.3,27.8,1001.3,
2020-03-07,7.3,5.1,11.1,,,335,17.9,50,1013.7,
2020-03-08,5.5,-0.1,10.8,,,294,7,25.9,1021.5,
2020-03-09,5.6,2.8,8.7,,,313,8,35.2,1016.3,
2020-03-10,5.5,2.8,7.4,,,305,5.2,20.4,1019.5,
2020-03-11,11,5.6,19.7,,,304,6.7,22.2,1018.2,
2020-03-12,10.2,5.3,15.7,,,258,6.9,25.9,1018.9,
2020-03-13,10.7,7.4,15.3,,,338,10.8,40.8,1016,
2020-03-14,7.1,5.3,9.8,,,270,6.2,22.2,1018.2,
2020-03-15,5.9,3.5,8.8,,,272,5.7,20.4,1024.4,
2020-03-16,7.3,3.9,12.6,,,294,6,22.2,1026.2,
2020-03-17,8.7,3.2,15.4,,,302,6.5,22.2,1028.3,
2020-03-18,10.5,5.2,17.9,,,288,7,25.9,1026.9,
2020-03-19,10.7,5.5,17.9,,,299,6.9,25.9,1026,
2020-03-20,10.5,6.1,16,,,302,6.5,27.8,1022.4,
2020-03-21,11,5.2,16.6,,,229,7.4,27.8,1015.8,
2020-03-22,9,5.6,12.4,,,212,6.9,24.1,1018,
2020-03-23,4.8,1.2,9.1,,,244,8.6,33.3,1024.7,
2020-03-24,2.9,-1.8,9.2,,,271,8.1,29.6,1026.3,
2020-03-25,1.9,-2.1,5.3,,,187,7.7,25.9,1021.8,
2020-03-26,3.4,-1.3,8.4,,,194,6.8,24.1,1016.5,
2020-03-27,7.1,2.9,12.4,,,212,7.3,24.1,1015.8,
2020-03-28,10.2,4.5,16.3,,,279,7.5,29.6,1015.4,
2020-03-29,11.1,6.3,17.5,,,334,8.5,35.2,1013.5,
2020-03-30,7.1,4.6,9.3,,,312,7.2,24.1,1015.7,
2020-03-31,5.3,1.3,11,,,242,8.1,31.5,1018.9,
2020-04-01,4.4,-0.3,11,,,243,7.9,27.8,1020.6,
2020-04-02,5.3,-0.6,12.2,,,293,7.9,25.9,1014.6,
2020-04-03,8.5,2.1,17.3,,,324,7.8,29.6,1012.9,
2020-04-04,9.6,3.7,17,,,272,7.9,29.6,1018.9,
2020-04-05,10,4.1,17,,,266,7.3,25.9,1024.7,
2020-04-06,10.7,4.9,17.9,,,288,7,25.9,1026.8,
2020-04-07,11.7,5.6,19.9,,,300,7.7,29.6,1028.8,
2020-04-08,12.5,5.7,20.1,,,285,7.6,27.8,1027.2,
2020-04-09,13.1,6.9,21.1,,,300,7.6,29.6,1023,
2020-04-10,14.1,7.5,22.5,,,269,7.9,27.8,1022.5,
2020-04-11,14.6,7.8,23.4,,,295,8.1,29.6,1021.7,
2020-04-12,14.3,7.9,21.2,,,259,8.5,31.5,1020.3,
2020-04-13,13.6,7.7,20.5,,,284,7.6,31.5,1015.1,
2020-04-14,14,8.9,21.4,,,337,15.3,57.4,1012,
2020-04-15,10.6,5.6,17,,,237,7.9,25.9,1022.4,
2020-04-16,12.2,5.9,19.8,,,273,7.6,25.9,1021,
2020-04-17,13.5,7.1,21.1,,,264,8.2,27.8,1017.9,
2020-04-18,14.9,9.4,21.7,,,249,7.6,25.9,1016.3,
2020-04-19,15.5,10.1,21.7,,,212,7.6,31.5,1013.7,
2020-04-20,12.5,10.6,14.4,,,197,5.6,18.5,1012,
2020-04-21,11.4,9.3,13.8,,,186,7.3,18.5,1012.3,
2020-04-22,12.1,7.6,18.4,,,229,7.6,27.8,1017.2,
2020-04-23,12.7,6.6,20.4,,,270,8.2,27.8,1018.4,
2020-04-24,14.5,8.1,21.5,,,300,7.5,27.8,1014.9,
2020-04-25,15.3,9.4,22.6,,,299,7,29.6,1008.9,
2020-04-26,13.7,9,18.9,,,221,6.9,27.8,1008.9,
2020-04-27,13.8,10.2,18.2,,,207,7.1,27.8,1011.1,
2020-04-28,11.7,10,13.1,,,192,5.5,18.5,1010.8,
2020-04-29,13,8.3,19.1,,,335,7.8,31.5,1007.9,
2020-04-30,10.4,7.2,13,,,260,5.2,24.1,1010.6,
2020-05-01,10.1,5.5,14.8,,,228,6.3,25.9,1008,
2020-05-02,12.5,7.5,18.2,,,340,8.9,33.3,1009.5,
2020-05-03,13.7,9.3,19.6,,,335,11.5,38.9,1013.9,
2020-05-04,14.2,8.6,20.4,,,252,7.9,29.6,1016.9,
2020-05-05,13.6,10,17.9,,,275,6.2,18.5,1014.7,
2020-05-06,15.9,11.7,21.1,,,341,11.9,46.3,1014.4,
2020-05-07,14.9,7.3,22.8,,,252,8.9,27.8,1020.3,
