date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,2.7,-1.2,6.4,,,282,11.1,53.7,1032,
2019-01-02,2.1,-0.6,6.1,,,280,18.2,55.5,1032.1,
2019-01-03,-0.4,-1.4,0.8,,,283,23.1,57.4,1036.6,
2019-01-04,0.8,-1,2.5,,,289,21.5,48.2,1035.9,
2019-01-05,3.8,1.6,6.1,,,285,23.5,51.8,1032.1,
2019-01-06,4,3.2,4.6,,,283,22.1,50,1031.3,
2019-01-07,2.9,1.2,4,,,280,20.1,46.3,1032.8,
2019-01-08,3.9,1.2,6.8,,,279,18,50,1025.2,
2019-01-09,-0.2,-1.8,2.9,,,281,15.3,40.8,1017.4,
2019-01-10,-1.8,-3,-0.8,,,280,18.3,42.6,1022.4,
2019-01-11,-2.4,-4.8,0.8,,,282,19.8,42.6,1027.7,
2019-01-12,2.8,0.7,4.9,,,280,23.5,50,1026,
2019-01-13,2.4,1,3.2,,,276,15.3,42.6,1018.4,
2019-01-14,1.6,0.6,2.8,,,279,11.1,33.3,1014.2,
2019-01-15,1.4,-1,3.2,,,279,16.9,42.6,1024,
2019-01-16,-2.8,-4.1,-1.6,,,112,2,9.3,1020.3,
2019-01-17,-0.1,-2,1.8,,,288,2.5,22.2,1016.2,
2019-01-18,-1.6,-4.9,0.5,,,276,14.4,35.2,1020.3,
2019-01-19,-3.9,-5.5,-1.1,,,,1.9,11.1,1018.8,
2019-01-20,-5.4,-7.1,-3,,,267,3.3,11.1,1017.6,
2019-01-21,-5.4,-8.3,-3.2,,,275,5.5,24.1,1021.1,
2019-01-22,-5.9,-8.2,-4,,,266,4.8,24.1,1014.3,
2019-01-23,-6.7,-9.8,-4,,,,2.7,22.2,1002.1,
2019-01-24,-3,-5.6,-1,,,279,21.7,50,1008.1,
2019-01-25,-1.9,-4.1,0.1,,,281,24.1,50,1017.6,
2019-01-26,2.6,-1.6,7.5,,,283,16.4,50,1016.7,
2019-01-27,-2.4,-4,-1.4,,,97,2.6,11.1,1002.7,
2019-01-28,-1.4,-2.7,0.7,,,278,13.9,35.2,1004.8,
2019-01-29,-2.2,-4.5,-0.1,,,277,9.7,29.6,1010.6,
2019-01-30,-3.2,-5.3,-0.7,,,288,5.5,27.8,1003.3,
2019-01-31,-4.8,-7.8,-2.5,,,132,3.4,16.7,1003.5,
2019-02-01,-2.6,-3.6,-1.8,,,93,3.5,11.1,997.7,
2019-02-02,-0.3,-2.2,1.8,,,114,2.7,13,997.4,
2019-02-03,1.7,-0.3,3.9,,,283,15.8,40.8,1012.2,
2019-02-04,-2.2,-5.8,0.3,,,283,11.4,40.8,1028.7,
2019-02-05,-3.3,-6.9,1.2,,,280,7.4,31.5,1030.2,
2019-02-06,-2.5,-5.6,0.7,,,268,4.1,20.4,1028.8,
2019-02-07,-1.7,-6,2.4,,,255,3.9,20.4,1023.6,
2019-02-08,0.4,-2.4,3.9,,,273,9.4,27.8,1024.2,
2019-02-09,-1.4,-4.6,2.2,,,,2.2,9.3,1021.4,
2019-02-10,-0.6,-3.3,2.5,,,82,3.3,13,1015.5,
2019-02-11,0.4,-0.9,2,,,281,13.4,37,1021.5,
2019-02-12,2.4,0.1,5.7,,,279,22,51.8,1034.5,
2019-02-13,-0.1,-2.8,2.6,,,273,6.2,35.2,1036.9,
2019-02-14,0,-3.8,3.7,,,276,4.1,14.8,1038.2,
2019-02-15,1.5,-1,5.2,,,278,3.5,13,1036.2,
2019-02-16,0.9,-2.1,5.5,,,271,3.5,11.1,1034.2,
2019-02-17,1,-1.9,6,,,265,3.2,9.3,1031.3,
2019-02-18,0.9,-2.5,5.6,,,248,2.6,11.1,1027.3,
2019-02-19,0.3,-2.8,5.4,,,273,4,13,1025.8,
2019-02-20,1.2,-2.7,5.3,,,271,6.2,22.2,1027.5,
