date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-7,-8.8,-5.7,,,237,1.6,13,1010.9,
2021-01-02,-4.2,-6.2,-2.6,,,327,2,11.1,1007.9,
2021-01-03,-5.1,-6.1,-4.3,,,218,2.6,16.7,1009.1,
2021-01-04,-6.1,-6.7,-5.3,,,260,2.1,13,,
2021-01-05,-6.6,-7.4,-4.9,,,288,4.7,29.6,1010.3,
2021-01-06,-7,-8,-5.4,,,339,9.4,31.5,1012.4,
2021-01-07,-9.3,-11.3,-7.5,,,290,8.4,31.5,1016.1,
2021-01-08,-9.2,-11.1,-7,,,301,9.8,29.6,1017.1,
2021-01-09,-9.9,-11.5,-8,,,280,5.2,18.5,1018,
2021-01-10,-7.4,-9.3,-2.9,,,311,6.8,27.8,1017,
2021-01-11,-2.7,-5.7,-0.6,,,326,14.1,48.2,1016.2,
2021-01-12,-1.9,-3.4,-0.4,,,350,11.3,40.8,1016.5,
2021-01-13,-3.3,-4.7,-1.1,,,2,7.1,44.5,1018.2,
2021-01-14,-1.6,-2.8,-0.6,,,343,6.1,40.8,1013.6,
2021-01-15,-5.1,-7.1,-2.8,,,4,6.8,40.8,1016.7,
2021-01-16,-4.6,-6.2,-3,,,342,14.1,42.6,1021.7,
2021-01-17,-4.6,-5.7,-3.7,,,358,11.9,51.8,1017.6,
2021-01-18,-5.8,-7.2,-4.5,,,343,13,40.8,1026.7,
2021-01-19,-5.4,-6.8,-3.9,,,283,4.2,29.6,1023.1,
2021-01-20,-6.1,-8.7,-4.8,,,250,3.6,16.7,1021.6,
2021-01-21,-4.1,-5.3,-3.3,,,181,2.2,13,1015,
2021-01-22,-3.4,-4,-2.3,,,175,1.7,13,1002.7,
2021-01-23,-4.2,-6.3,-2.7,,,331,13.7,59.3,,
2021-01-24,-7.1,-8.7,-5.9,,,315,8.5,40.8,1002.3,
2021-01-25,-8.5,-9.7,-7,,,334,6.5,31.5,1007.3,
2021-01-26,-9,-10,-7.6,,,333,11.7,38.9,1022.1,
2021-01-27,-5.5,-8.1,-3.8,,,12,5.1,31.5,1017.8,
2021-01-28,-0.5,-3.2,1.9,,,36,3.4,24.1,1012.4,
2021-01-29,0.2,-2.8,2.1,,,4,5.1,25.9,1007.4,
2021-01-30,-1.6,-3.2,-0.8,,,347,3.7,24.1,1003,
2021-01-31,-1,-3.2,0.7,,,337,14.6,55.5,997.6,
2021-02-01,-3.2,-4,-0.8,,,191,2.3,14.8,,
2021-02-02,0.1,-1.2,0.8,,,48,4.6,29.6,1009.8,
2021-02-03,-1.6,-3,-0.3,,,155,1.9,13,1013.6,
2021-02-04,-0.3,-2.4,0.8,,,280,5.5,25.9,1016.3,
2021-02-05,-0.4,-1.7,0.9,,,225,2.2,13,1018.1,
2021-02-06,-0.5,-1.7,0.3,,,214,2.3,13,1013.3,
2021-02-07,-2.3,-4.3,-1.3,,,255,4.1,37,1000.3,
2021-02-08,-5.4,-6.6,-3.5,,,319,10.4,50,997.3,
2021-02-09,-5.1,-6.3,-3.3,,,285,3,14.8,1000.9,
2021-02-10,-3.3,-4.7,-1.7,,,355,6.8,37,1001.3,
2021-02-11,-4.7,-6.7,-3.3,,,344,14,42.6,1015.6,
2021-02-12,-8.4,-10.2,-7.3,,,240,2.4,18.5,1022.6,
2021-02-13,-10.8,-15.7,-9.1,,,289,3.3,16.7,1027.2,
2021-02-14,-12.2,-15.2,-9.1,,,274,6.4,25.9,1038.8,
2021-02-15,-6.4,-10.6,2.2,,,337,4.1,16.7,1032.8,
2021-02-16,1.8,-0.8,4,,,324,4.8,25.9,1023.3,
2021-02-17,0,-2.1,2.1,,,328,7.1,29.6,1021.6,
2021-02-18,-2.4,-4,-1,,,265,4.6,20.4,1023.5,
2021-02-19,-1.6,-2.6,-0.1,,,290,3.4,14.8,1024.6,
2021-02-20,-1.1,-2.8,0.9,,,281,5,16.7,1026.4,
2021-02-21,-1,-2.8,0.6,,,268,4.5,18.5,1026.3,
2021-02-22,-0.3,-2.8,1.7,,,263,3.1,18.5,1030.5,
2021-02-23,3.6,0.3,6.4,,,286,5.6,20.4,1034.1,
2021-02-24,3.9,2,6.3,,,277,5.8,20.4,1035.9,
2021-02-25,3.2,1.2,5.5,,,277,6.1,24.1,1032.4,
2021-02-26,3.9,1.7,6.9,,,300,7.8,38.9,1028.3,
2021-02-27,2.5,-0.1,4,,,313,14.6,51.8,1028.1,
2021-02-28,-1.1,-2.3,0.4,,,245,4.8,24.1,1031.9,
2021-03-01,-1.2,-3.3,1.7,,,269,6.4,25.9,1029.8,
2021-03-02,-0.4,-3,2.1,,,272,6.9,25.9,1032.1,
2021-03-03,2.1,-0.1,5.2,,,297,5.3,22.2,1028.5,
2021-03-04,0.6,-2.2,1.9,,,304,3.6,16.7,1021.3,
2021-03-05,-1.2,-2.9,0.2,,,345,7.6,33.3,1018.9,
2021-03-06,-4.3,-5.8,-2.9,,,252,4.5,31.5,1027.3,
2021-03-07,-4,-6.8,-1.8,,,305,3.1,16.7,1023.8,
2021-03-08,-2.3,-4.5,0,,,313,5.8,20.4,1017.5,
2021-03-09,-3.8,-4.8,-2.5,,,303,7,40.8,1017.2,
2021-03-10,-2.6,-4.8,0.3,,,329,12.7,44.5,1020.9,
2021-03-11,-1.8,-2.7,-0.7,,,228,3.5,16.7,1018.3,
2021-03-12,-1.6,-2.7,0.2,,,350,10.3,35.2,1015.1,
2021-03-13,-2.2,-4.9,0.1,,,213,5.4,29.6,1014.1,
2021-03-14,-5.2,-6.8,-3.3,,,323,8.3,40.8,1013.5,
2021-03-15,-5.2,-6.8,-3.9,,,343,8.7,42.6,1017,
2021-03-16,-5.6,-6.6,-5,,,344,12.6,44.5,1022.8,
2021-03-17,-4.8,-6.5,-3.4,,,350,9.8,35.2,1020.9,
2021-03-18,-7,-9.1,-5.3,,,347,10.1,29.6,1021.2,
2021-03-19,-8.2,-9.7,-6.4,,,325,7.5,31.5,1018.7,
2021-03-20,-6.8,-9,-4.8,,,333,17.8,59.3,1022.8,
2021-03-21,-2.8,-5.6,0.1,,,332,22.3,59.3,1018,
2021-03-22,-2.5,-4.7,-0.5,,,332,25.5,66.7,1018.5,
