date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-3.4,-5.1,-2.3,,,60,7.1,22.2,1008,
2021-01-02,-4.4,-10.3,-1,,,61,5.4,18.5,1007.4,
2021-01-03,-4.8,-6.5,-3.9,,,160,2.8,9.3,1008.7,
2021-01-04,-4.6,-7,-1.9,,,56,8.9,37,,
2021-01-05,-4.8,-7.4,-2.7,,,49,4.9,27.8,1010.2,
2021-01-06,-7.3,-8.8,-5.5,,,273,2.6,9.3,1014.4,
2021-01-07,-7.9,-9.7,-5.1,,,21,4.3,11.1,1016.9,
2021-01-08,-9,-10.6,-6.2,,,33,3.4,11.1,1018,
2021-01-09,-7.2,-9.9,-3.8,,,53,5.9,16.7,1016.1,
2021-01-10,-5.7,-9.6,-2.9,,,50,5.5,14.8,1015.6,
2021-01-11,-7,-9.7,-2.8,,,13,3.7,9.3,1018.9,
2021-01-12,-5.2,-8.1,-2.7,,,300,5.8,22.2,1021.6,
2021-01-13,-1.1,-2.5,0,,,265,9.4,25.9,1022.3,
2021-01-14,-0.1,-0.7,0.4,,,264,12,35.2,1019.6,
2021-01-15,-1.9,-5.7,-0.5,,,274,5.3,20.4,1017.8,
2021-01-16,-6.4,-7.4,-4.4,,,304,3.5,11.1,1025.5,
2021-01-17,-4.3,-6.2,-2.8,,,270,6.6,20.4,1022.6,
2021-01-18,-5.3,-7.2,-2.8,,,291,4.2,14.8,1029.2,
2021-01-19,-4,-8.3,0.3,,,34,5.8,18.5,1023.2,
2021-01-20,-0.6,-3.5,2.7,,,57,17.9,63,1014.5,
2021-01-21,1.8,-0.1,3.5,,,63,19.8,57.4,1008.5,
2021-01-22,1.4,-0.3,3,,,60,12.5,40.8,998.5,
2021-01-23,-2.5,-4.3,-0.1,,,290,5,22.2,,
2021-01-24,-4.7,-6.3,-3.1,,,300,4.1,14.8,1004.3,
2021-01-25,-6.3,-7.3,-5.3,,,272,5.5,20.4,1008.9,
2021-01-26,-7.2,-9.4,-5.4,,,286,4.5,16.7,1024.3,
2021-01-27,-5.3,-9.3,-0.5,,,311,5.9,22.2,1020.5,
2021-01-28,1.3,-0.3,2.8,,,266,9,25.9,1016.2,
2021-01-29,2,-0.4,3.4,,,266,10.6,33.3,1011.1,
2021-01-30,0.2,-0.7,1.6,,,294,4.9,27.8,1004.6,
2021-01-31,-0.1,-2.7,2.2,,,319,3.7,11.1,999.5,
2021-02-01,-0.4,-2.4,0.6,,,357,4.8,16.7,,
2021-02-02,2.3,0.2,4,,,314,5.1,16.7,1011.4,
2021-02-03,3.7,2.6,5.2,,,26,7.3,24.1,1009.7,
2021-02-04,2.8,-0.2,5.7,,,25,5.9,18.5,1015.1,
2021-02-05,5.4,3.1,8.4,,,54,10.8,35.2,1012.2,
2021-02-06,6,4.5,8.2,,,61,19.8,63,1005.6,
2021-02-07,2.1,-2.9,4.5,,,9,12.9,59.3,998.5,
2021-02-08,-3.1,-5.3,0,,,314,3.8,16.7,998,
2021-02-09,-1.9,-4.1,0.4,,,357,4.5,29.6,999.5,
2021-02-10,-1,-1.7,0,,,286,6.5,27.8,1003,
2021-02-11,-3.9,-5.7,-2,,,284,5.9,22.2,1017,
2021-02-12,-4.1,-6.1,-0.9,,,62,3.7,13,1018.2,
2021-02-13,-6.2,-9.2,-3.2,,,301,4.1,16.7,1023.8,
2021-02-14,-6.5,-10.8,-2.2,,,37,5.8,22.2,1033.9,
2021-02-15,-1.8,-6.5,2.3,,,13,4.3,11.1,1032,
2021-02-16,3.9,1.2,7.4,,,20,3.8,11.1,1023.8,
2021-02-17,3,0.4,5.8,,,307,4.5,18.5,1022.3,
2021-02-18,2.7,-1.2,7.2,,,50,9.2,25.9,1018.8,
2021-02-19,4.1,1,7.9,,,49,6.9,22.2,1020.3,
2021-02-20,5.1,1.8,9.4,,,59,11.4,29.6,1019.9,
2021-02-21,5.8,1.7,10,,,60,17.4,57.4,1019.2,
2021-02-22,6.4,4.2,9.6,,,62,19,53.7,1024.5,
2021-02-23,7,4.1,11.3,,,33,5.5,18.5,1033.7,
2021-02-24,7.8,3.4,13,,,49,7.7,27.8,1034.3,
2021-02-25,8.2,3.8,13.4,,,50,8.6,22.2,1030.4,
2021-02-26,6.2,2.6,10.5,,,5,5,16.7,1028.8,
2021-02-27,3.7,0.5,7.5,,,50,4.8,22.2,1025.9,
2021-02-28,4.2,0.4,9,,,57,8.3,31.5,1028,
2021-03-01,3.5,-0.7,8.5,,,47,6.7,22.2,1028.2,
2021-03-02,4.9,0.4,9.9,,,42,7.2,20.4,1031.2,
2021-03-03,5.2,1.4,10.6,,,5,4.7,13,1029,
2021-03-04,4.5,1.7,8.1,,,323,4.9,20.4,1021.5,
2021-03-05,2.4,-0.5,4.6,,,290,5.6,25.9,1019.6,
2021-03-06,0.9,-2.5,5.5,,,48,6.4,22.2,1023.9,
2021-03-07,0.8,-1.8,3.9,,,341,4.9,18.5,1022.8,
2021-03-08,0.9,-1.1,4.2,,,308,4.3,18.5,1017,
2021-03-09,-0.5,-2.7,1.6,,,342,6,29.6,1017.6,
2021-03-10,-0.4,-5.4,4.8,,,318,5.1,16.7,1021.2,
2021-03-11,4.2,0.5,7.9,,,295,6.8,38.9,1015.2,
2021-03-12,1.8,-0.7,3.6,,,261,9.7,37,1017.3,
2021-03-13,1.7,-1.3,5,,,274,8.3,40.8,1014.5,
2021-03-14,-2.9,-4,-0.4,,,264,12.2,40.8,1017.4,
