date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2001-01-01,-0.6,-5,3.5,0,0,76,8.8,,1012.7,
2001-01-02,3.2,1.1,7.4,10.9,0,,4.4,,1007.5,
2001-01-03,2.8,-0.2,7,0,0,126,4.9,,1013.6,
2001-01-04,1.4,-0.8,3.1,6.2,0,,5.3,,,
2001-01-05,1.5,-1.2,3.2,11.5,0,71,5.7,,1012,
2001-01-06,3.7,1.4,5.5,20.4,0,58,6.9,,1007.7,
2001-01-07,0.7,-0.1,1.6,13,20,,2.2,,1014.8,
2001-01-08,2.1,0.6,3.8,0,20,,2.9,,1013.4,
2001-01-09,0.5,-2.6,4.2,0,0,102,4.7,,1018.4,
2001-01-10,2.9,0.5,6.2,0,0,67,9,,1018,
2001-01-11,4.4,1.6,9.1,0.1,0,73,6.6,,1018.5,
2001-01-12,4.8,1.9,7.8,4.4,0,126,3.8,,1018.2,
2001-01-13,2.7,0.9,4.6,0,0,258,7.2,,1020,
2001-01-14,0.7,-0.4,2.8,0,0,,6,,,
2001-01-15,-1.3,-4.9,2.5,0,0,,,,,
2001-01-16,-2.7,-6.3,3.2,0,0,84,6.6,,1024.6,
2001-01-17,-1.2,-4.9,4.4,0,0,72,6.2,,1021.7,
2001-01-18,1.4,-0.6,7.3,0,0,91,5.2,,1020.4,
2001-01-19,2.1,-0.6,4.9,0,0,90,5.4,,1022.4,
2001-01-20,2.8,0.3,8,0,0,,3.8,,,
2001-01-21,2.8,-1.4,7.1,0,0,,4.1,,1025.2,
2001-01-22,3.9,-1.1,10.5,3.8,0,67,6.7,,1017.2,
2001-01-23,4.1,0.5,6.1,4.2,0,,4.5,,1014.4,
2001-01-24,4.9,2.7,8.6,11.6,0,85,6.6,,1010.6,
2001-01-25,3.4,0.4,8.5,0.8,0,89,8.3,,1010.3,
2001-01-26,2,-1.2,8.2,2.1,0,88,4.1,,1010.4,
2001-01-27,3.4,-1.8,9.5,0.6,0,121,6.9,,1006.8,
2001-01-28,1.1,-2.8,7.8,0,0,78,5.5,,1004.1,
