date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2013-01-01,-0.2,-4,4.2,,,138,2.4,,1019.5,
2013-01-02,1.5,-2.4,6.5,,,129,2.8,,1023.4,
2013-01-03,-0.7,-4.1,5.7,,,,2.5,,1035.8,
2013-01-04,4.3,-1.6,16.1,,,51,3.2,,1030.8,
2013-01-05,9.2,0.3,21.1,,,141,5.3,,1022.3,
2013-01-06,13.5,8.2,18,,,96,10.2,,1020.9,
2013-01-07,6.8,-0.5,17.4,,,108,7.5,,1021.2,
2013-01-08,1.5,-1.4,6.6,,,,1.9,,1026.6,
2013-01-09,2.6,-1.9,5.3,,,,2.3,,1023.5,
2013-01-10,2.5,-1.1,5.8,,,,2.3,,1014.6,
2013-01-11,1.6,-2.4,8.4,,,155,4.2,,1010.2,
2013-01-12,1,-3.1,4.6,,,151,4.1,,1016.1,
2013-01-13,1.7,-0.3,5.5,,,104,3.6,,1013,
2013-01-14,0.9,-2.9,4.9,,,168,3.4,,1009.2,
2013-01-15,0.2,-2.2,2.4,,,67,3.1,,1007.9,
2013-01-16,3.3,1.1,4.6,,,105,15.9,,1000.7,
2013-01-17,4.3,3.3,6.6,,,85,31.5,,1001.7,
2013-01-18,2.2,-2.4,6,,,,11.8,,1002.7,
2013-01-19,0.1,-2.9,3,,,103,2.6,,1001.9,
2013-01-20,0.7,0,1.5,,,94,2.6,,1000.1,
2013-01-21,1.8,0.3,4.3,,,104,2.9,,996.9,
2013-01-22,4.2,-1,9.1,,,119,4.7,,1001.3,
2013-01-23,0.9,-2.7,5.3,,,109,3.9,,1008,
2013-01-24,2.2,-2.1,9.2,,,,2.8,,1003.3,
2013-01-25,3.7,-1.4,9.8,,,92,9.9,,1007.6,
2013-01-26,0.4,-3.1,5.2,,,98,4.6,,1012.6,
2013-01-27,-0.3,-4.4,4.8,,,,2.9,,1015.3,
2013-01-28,1.9,-1.1,6.2,,,252,3.6,,1016.3,
2013-01-29,1.4,-2.6,7.8,,,159,2.9,,1024.3,
2013-01-30,1.7,-2.7,9.3,,,98,3.2,,1021.2,
2013-01-31,5.4,-0.8,14.8,,,100,5,,1020.5,
2013-02-01,4,-1.7,11.1,,,261,5,,1011,
2013-02-02,6.8,3.7,10.8,,,,15.8,,995.3,
2013-02-03,7.8,1.2,10.2,,,75,21.8,,1011.9,
2013-02-04,2.4,-2.7,10.1,,,,3,,1017.5,
2013-02-05,2,-3.1,6.6,,,275,5.6,,1011.4,
2013-02-06,3.4,-1.1,9,,,92,3.4,,999,
2013-02-07,3.8,-2,8.9,,,67,12.8,,1005.8,
2013-02-08,2.6,-3.1,8.4,,,85,9.6,,1010.7,
2013-02-09,1.7,-3.7,6.3,,,80,9.9,,1014.5,
2013-02-10,0,-4.5,4.7,,,98,8.1,,1014.6,
2013-02-11,-1.2,-3.5,-0.2,,,65,4,,1008,
2013-02-12,1,-1.4,5.2,,,135,4.1,,,
2013-02-13,3.8,-3.6,11.7,,,91,14.4,,1012.6,
2013-02-14,2.6,-4.7,8.4,,,108,5.5,,1018.5,
2013-02-15,2.7,-2.9,9.7,,,,3,,1016.6,
2013-02-16,3.1,-3.2,10.3,,,255,5.4,,1020.8,
2013-02-17,2.8,-0.1,7.9,,,,3.8,,1020.4,
2013-02-18,2.7,-2,8.7,,,,4.5,,1019,
2013-02-19,1,-4.5,8.4,,,,2.9,,1016.4,
2013-02-20,2.1,-3.8,8.6,,,164,3.8,,1012.9,
2013-02-21,2.3,0.4,5.2,,,251,7.7,,1011.4,
2013-02-22,1.4,-0.2,3.9,,,247,7.5,,1005.5,
2013-02-23,1.6,-2.5,5.1,,,153,3.3,,1003.2,
