Exchange Date;Bid;Ask;;;;;
27-Nov-2024;0,9316;0,9318;;;;;
26-Nov-2024;0,9296;0,9300;;;;;
25-Nov-2024;0,9301;0,9303;;;;;
22-Nov-2024;0,9314;0,9319;;;;;
21-Nov-2024;0,9286;0,9290;;;;;
20-Nov-2024;0,9320;0,9326;;;;;
19-Nov-2024;0,9347;0,9353;;;;;
18-Nov-2024;0,9358;0,9360;;;;;
15-Nov-2024;0,9361;0,9363;;;;;
14-Nov-2024;0,9372;0,9375;;;;;
13-Nov-2024;0,9357;0,9359;;;;;
12-Nov-2024;0,9363;0,9367;;;;;
11-Nov-2024;0,9386;0,9388;;;;;
08-Nov-2024;0,9387;0,9388;;;;;
07-Nov-2024;0,9424;0,9427;;;;;
06-Nov-2024;0,9403;0,9409;;;;;
05-Nov-2024;0,9432;0,9436;;;;;
04-Nov-2024;0,9399;0,9402;;;;;
01-Nov-2024;0,9420;0,9424;;;;;
31-Okt-2024;0,9397;0,9399;;;;;
30-Okt-2024;0,9408;0,9410;;;;;
29-Okt-2024;0,9382;0,9385;;;;;
28-Okt-2024;0,9354;0,9360;;;;;
25-Okt-2024;0,9355;0,9360;;;;;
24-Okt-2024;0,9372;0,9374;;;;;
23-Okt-2024;0,9340;0,9343;;;;;
22-Okt-2024;0,9345;0,9346;;;;;
21-Okt-2024;0,9367;0,9368;;;;;
18-Okt-2024;0,9396;0,9403;;;;;
17-Okt-2024;0,9380;0,9381;;;;;
16-Okt-2024;0,9400;0,9402;;;;;
15-Okt-2024;0,9389;0,9390;;;;;
14-Okt-2024;0,9408;0,9413;;;;;
11-Okt-2024;0,9374;0,9381;;;;;
10-Okt-2024;0,9364;0,9367;;;;;
09-Okt-2024;0,9416;0,9419;;;;;
08-Okt-2024;0,9413;0,9418;;;;;
07-Okt-2024;0,9375;0,9378;;;;;
04-Okt-2024;0,9416;0,9421;;;;;
03-Okt-2024;0,9404;0,9410;;;;;
02-Okt-2024;0,9385;0,9387;;;;;
01-Okt-2024;0,9369;0,9371;;;;;
30-Sep-2024;0,9415;0,9416;;;;;
27-Sep-2024;0,9381;0,9384;;;;;
26-Sep-2024;0,9455;0,9457;;;;;
25-Sep-2024;0,9467;0,9468;;;;;
24-Sep-2024;0,9427;0,9428;;;;;
23-Sep-2024;0,9416;0,9418;;;;;
20-Sep-2024;0,9489;0,9496;;;;;
19-Sep-2024;0,9462;0,9464;;;;;
18-Sep-2024;0,9408;0,9410;;;;;
17-Sep-2024;0,9414;0,9416;;;;;
16-Sep-2024;0,9403;0,9405;;;;;
13-Sep-2024;0,9400;0,9405;;;;;
12-Sep-2024;0,9425;0,9426;;;;;
11-Sep-2024;0,9383;0,9388;;;;;
10-Sep-2024;0,9332;0,9334;;;;;
09-Sep-2024;0,9371;0,9373;;;;;
06-Sep-2024;0,9342;0,9351;;;;;
05-Sep-2024;0,9377;0,9378;;;;;
04-Sep-2024;0,9380;0,9382;;;;;
03-Sep-2024;0,9390;0,9395;;;;;
02-Sep-2024;0,9427;0,9433;;;;;
30-Aug-2024;0,9389;0,9395;;;;;
29-Aug-2024;0,9385;0,9387;;;;;
28-Aug-2024;0,9365;0,9366;;;;;
