date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,4.2,3.3,5,,,311,2.4,9.3,1027.5,
2023-01-02,5.2,4.2,6.5,,,308,2.6,11.1,1027.4,
2023-01-03,4.6,2.5,5.9,,,283,3,11.1,1032.2,
2023-01-04,1.5,-1,3.8,,,282,2.9,14.8,1033.3,
2023-01-05,6,1.5,9.5,,,281,11.2,31.5,1030.1,
2023-01-06,1,-1.7,5.2,,,291,2.9,22.2,1026.5,
2023-01-07,-1.3,-2.5,0.7,,,20,1.9,7.4,1022,
2023-01-08,1.4,0.4,2,,,63,2.8,9.3,1012.7,
2023-01-09,1.5,0.7,2.4,,,283,10.3,35.2,1011.3,
2023-01-10,1,-0.7,2.4,,,280,15.1,33.3,1026.4,
2023-01-11,1,-2.7,3.9,,,277,4.4,22.2,1024,
2023-01-12,2.4,0.4,4.1,,,274,8.9,27.8,1026.4,
2023-01-13,0.2,-1.9,2.3,,,269,4.5,22.2,1022.8,
2023-01-14,1.4,-1,3,,,275,6.3,24.1,1023.8,
2023-01-15,0.4,-0.8,2,,,298,5.2,29.6,1015.1,
2023-01-16,-2.3,-4.1,-0.5,,,327,5.1,25.9,1002,
2023-01-17,-3.8,-6.6,-1.6,,,269,2.4,11.1,991.5,
2023-01-18,-3.4,-6.3,-0.4,,,282,8.2,31.5,998.3,
2023-01-19,-2.6,-6.4,-1.1,,,292,19.7,42.6,1013.8,
2023-01-20,-4.4,-7.5,-1.5,,,303,18,40.8,1020.8,
2023-01-21,-3.1,-5.4,-1.3,,,309,19.1,44.5,1025.7,
2023-01-22,-1.4,-2.4,0.2,,,284,24.1,51.8,1027.6,
2023-01-23,0.3,-3.1,4.9,,,311,18.1,48.2,1027.2,
2023-01-24,-1.7,-3.9,1.1,,,290,2.3,14.8,1032,
2023-01-25,-2.4,-4.3,-0.4,,,323,1.8,14.8,1029.3,
2023-01-26,-4.6,-8,-2.3,,,283,6.7,29.6,1021.2,
2023-01-27,-0.3,-4.8,2.8,,,302,16.8,42.6,1020,
2023-01-28,-2.1,-4.4,-0.6,,,290,11.7,33.3,1024.2,
2023-01-29,-4.6,-6.6,-1.5,,,285,3.6,14.8,1027.7,
2023-01-30,1,-5.6,6.9,,,281,16.4,53.7,1028.1,
2023-01-31,3.9,2.1,5.8,,,309,20.2,51.8,1030.4,
2023-02-01,4,2.1,6.7,,,279,20.1,50,1030.9,
2023-02-02,4.1,2.6,6.5,,,277,20.3,42.6,1033.2,
2023-02-03,5.8,3.4,9.6,,,278,20.4,40.8,1035.2,
2023-02-04,7.2,5,8.8,,,288,20.3,44.5,1034.5,
2023-02-05,4.1,1.6,5.7,,,288,19.5,59.3,1037.5,
2023-02-06,-0.5,-3.7,1.5,,,310,7,24.1,1035.7,
2023-02-07,-3.4,-6.1,-1.5,,,337,3.8,20.4,1036.8,
2023-02-08,-4.1,-7.3,-1.5,,,254,2.5,13,1036.5,
2023-02-09,-4.6,-6.3,-3,,,311,3.3,14.8,1037.3,
2023-02-10,-4.2,-8.6,0.2,,,289,4.6,14.8,1039.9,
2023-02-11,-1.1,-5.3,3,,,294,3.3,14.8,1038.6,
2023-02-12,3.7,-0.1,10.4,,,307,4.9,33.3,1036.9,
2023-02-13,0.6,-2.5,4.7,,,277,2.6,13,1038.3,
2023-02-14,1.2,-2.7,6.5,,,253,2.5,11.1,1037,
2023-02-15,3.2,-0.1,8.9,,,249,2.4,11.1,1032.2,
2023-02-16,3,-0.7,7,,,270,3.5,14.8,1031.6,
2023-02-17,5.1,-0.4,10.4,,,276,7.3,35.2,1033,
2023-02-18,7,1.4,12.2,,,273,9.3,31.5,1030.5,
2023-02-19,5.8,-0.4,11.5,,,285,10.2,44.5,1029,
2023-02-20,7.9,2.5,12,,,281,11.3,44.5,1029,
2023-02-21,4.3,-0.3,10,,,32,3.8,18.5,1022.3,
2023-02-22,4,0,8.2,,,79,4.2,22.2,1016.7,
2023-02-23,5.3,2.7,8.5,,,302,4.3,24.1,1016.2,
2023-02-24,5.4,4,7.6,,,80,4.8,16.7,1012,
2023-02-25,5.5,2.3,9.3,,,289,14.5,40.8,1008,
2023-02-26,-0.2,-2.1,2.1,,,290,17.9,40.8,1012.8,
2023-02-27,-1.1,-3.7,1.7,,,61,6.9,29.6,1018.4,
2023-02-28,-0.1,-2.5,2.7,,,68,3.9,13,1022.7,
2023-03-01,0.7,-3.9,5.5,,,100,3.6,14.8,1019,
2023-03-02,2.4,0.3,6,,,88,3.8,20.4,1018.5,
2023-03-03,3.2,-2.5,9.7,,,281,9.3,33.3,1020.8,
2023-03-04,3.5,-1.1,8.4,,,279,12.1,37,1022.2,
2023-03-05,4.6,0.5,9.2,,,284,13.7,33.3,1017.3,
2023-03-06,2.1,-1.8,6.2,,,266,6.6,25.9,1009.9,
2023-03-07,2.6,-1,6.6,,,247,6.2,24.1,1006.9,
2023-03-08,2.5,-0.4,6.4,,,272,5.5,27.8,1005.2,
2023-03-09,5.5,1.8,10.8,,,270,6.4,22.2,1006,
2023-03-10,3.9,2.2,6.3,,,302,7.4,27.8,1004.2,
2023-03-11,2.9,1.8,4.7,,,279,18.5,38.9,1011,
2023-03-12,6.7,3.3,11.5,,,276,14.7,37,1016.9,
2023-03-13,6.3,2.1,10.9,,,90,6.5,27.8,1013.1,
2023-03-14,5.5,3.2,7.4,,,309,9.6,33.3,1007.4,
2023-03-15,3.4,1.4,6.5,,,282,15.4,40.8,1021.1,
2023-03-16,3.1,-2.2,8.7,,,63,6.8,25.9,1019.5,
2023-03-17,4.4,0.2,9.6,,,103,4.7,16.7,1016.6,
2023-03-18,5.9,1,11.3,,,83,5,25.9,1016.4,
2023-03-19,6,3.2,10.3,,,78,4.5,24.1,1020,
2023-03-20,7.4,2.7,13,,,272,12,37,1021.7,
2023-03-21,7.4,1.3,14.2,,,74,6.4,22.2,1018.2,
2023-03-22,9,3.9,15.3,,,83,5.9,24.1,1016.1,
2023-03-23,9.9,6.1,14.3,,,230,5.2,20.4,1015.2,
2023-03-24,7.8,5.8,9.1,,,51,5.6,18.5,1013.7,
2023-03-25,6.4,4,8.8,,,274,12.7,33.3,1018.9,
2023-03-26,5.7,2.9,9.4,,,280,9.7,27.8,1012.8,
2023-03-27,2.2,-0.1,3.4,,,275,14.7,38.9,1019.2,
2023-03-28,3.5,-0.5,8.5,,,269,14.7,37,1028.4,
2023-03-29,6,2.7,11.9,,,231,4.9,16.7,1023.6,
2023-03-30,7.6,5.8,9.6,,,94,5.5,18.5,1019.3,
2023-03-31,5.8,3.8,7.7,,,251,4.6,18.5,1012.7,
2023-04-01,5.8,2.6,9.6,,,276,13.5,31.5,1011.7,
2023-04-02,6.9,3.2,11,,,272,17.5,38.9,1017,
2023-04-03,7.1,3.1,10.5,,,271,21.7,53.7,1021.9,
2023-04-04,4.1,-0.3,8.9,,,268,19.8,44.5,1021.6,
2023-04-05,3.1,-1.3,8.1,,,265,11,35.2,1021.9,
2023-04-06,4.5,-1.4,10.5,,,260,11.2,31.5,1022.7,
2023-04-07,5.2,2.1,8.1,,,274,11.7,38.9,1020.4,
2023-04-08,6.6,2.8,10.5,,,271,18.5,37,1023.2,
2023-04-09,7.8,2,13.5,,,259,12.3,37,1023.3,
2023-04-10,7,1.1,12.5,,,109,7.9,25.9,1022.6,
2023-04-11,7.5,4.8,10.8,,,287,11.5,42.6,1020.4,
2023-04-12,7.1,5.7,8.6,,,318,7.9,29.6,1010.7,
2023-04-13,5.1,3.9,6.3,,,282,14.8,37,1011.7,
2023-04-14,5.7,2.6,9.8,,,276,15.6,42.6,1012.8,
2023-04-15,6.2,1.8,9.7,,,274,17.1,38.9,1011.8,
2023-04-16,7.5,5.5,10.6,,,275,19.1,44.5,1020.9,
