date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,5.6,3.3,7.4,,,339,16.3,63,1024.8,
2019-01-02,-4.6,-9.2,2.5,,,332,13.9,68.5,1028.8,
2019-01-03,-5.8,-8.4,-3.6,,,358,19.8,55.5,1033.1,
2019-01-04,-3.5,-5.8,-1.9,,,350,18.7,53.7,1031.2,
2019-01-05,-0.1,-2,2.2,,,346,21.5,68.5,1026.3,
2019-01-06,-1.4,-2.2,-0.3,,,346,23.3,64.8,1027.3,
2019-01-07,-0.3,-2.1,1.3,,,339,19.8,63,1028.4,
2019-01-08,-0.8,-4.3,1.2,,,347,14.4,66.7,1019.9,
2019-01-09,-7.6,-8.7,-4.7,,,342,13.3,68.5,1014.1,
2019-01-10,-8.7,-9.5,-7.7,,,338,26.1,72.2,1020.4,
2019-01-11,-6.4,-8.7,-3,,,340,21.5,57.4,1024.2,
2019-01-12,-1,-3.1,1.8,,,344,22.5,61.1,1021.8,
2019-01-13,-1.9,-3.5,-0.3,,,5,9.8,44.5,1014.4,
2019-01-14,-3.7,-5.8,-0.5,,,325,7.1,46.3,1011.5,
2019-01-15,-1.9,-5.9,1.5,,,342,11.1,55.5,1020.3,
2019-01-16,-2.6,-5.4,-0.6,,,271,4.8,24.1,1017.9,
2019-01-17,-4.4,-5.4,-3.7,,,308,4,38.9,1015.1,
2019-01-18,-7.2,-9.6,-5.4,,,322,12.9,44.5,1017.3,
2019-01-19,-9.2,-10.3,-7.6,,,260,3.5,14.8,1017.5,
2019-01-20,-8.5,-10.4,-6.4,,,294,6.2,18.5,1015.1,
2019-01-21,-6.7,-8.2,-4.8,,,303,7.4,27.8,1018.2,
2019-01-22,-7,-9.4,-4.9,,,290,7.5,25.9,1009.3,
2019-01-23,-10.1,-11.2,-8.6,,,280,5.7,25.9,998.2,
2019-01-24,-6.7,-8.4,-4.5,,,342,20.2,64.8,1004.6,
2019-01-25,-6.2,-7.8,-2,,,341,28,68.5,1013.3,
2019-01-26,-0.5,-2,1.4,,,341,16.8,57.4,1011.9,
2019-01-27,-5,-6.4,-1.9,,,246,3.4,18.5,1001.1,
2019-01-28,-7.9,-8.8,-6.1,,,342,18.5,53.7,1002.3,
2019-01-29,-8.7,-9.9,-7.1,,,293,10.6,48.2,1009,
2019-01-30,-9.4,-10.7,-7.9,,,298,5.2,27.8,1003,
2019-01-31,-10.6,-11.3,-10.1,,,229,3.2,24.1,1004.9,
2019-02-01,-7.2,-10.2,-4.5,,,182,2.6,13,1000.1,
2019-02-02,-4,-4.8,-3.1,,,214,3.6,22.2,996.9,
2019-02-03,-4.7,-6.9,-3.3,,,341,25.7,66.7,1009.2,
2019-02-04,-5.1,-6.4,-2.9,,,295,13.7,63,1025.9,
2019-02-05,-0.5,-5.6,3.3,,,319,9.6,35.2,1023.8,
2019-02-06,0.2,-2.9,2.9,,,282,7.2,24.1,1022.6,
2019-02-07,-1.9,-3.4,-0.1,,,304,6.6,31.5,1018.7,
2019-02-08,-3.3,-5.6,-1.7,,,299,9.3,42.6,1021.8,
2019-02-09,-3.8,-5.5,-1.7,,,271,3.8,18.5,1019.5,
2019-02-10,-4.2,-4.9,-3.6,,,249,3.5,22.2,1015.8,
2019-02-11,-6.2,-7.5,-5.3,,,344,14.3,59.3,1019.6,
2019-02-12,-2.3,-6.3,1.5,,,344,18.9,55.5,1030.9,
2019-02-13,1.3,-1.5,3.6,,,316,8.9,35.2,1032.3,
2019-02-14,3.7,0.4,8.1,,,307,7.6,27.8,1032.2,
2019-02-15,4.8,2.1,8.5,,,298,8.6,25.9,1029.3,
2019-02-16,3.1,0.6,6.1,,,290,6.6,24.1,1028.4,
2019-02-17,1.8,0.4,3.9,,,278,6.8,24.1,1025.8,
2019-02-18,0.4,-1.2,2.6,,,271,6.2,24.1,1022.4,
2019-02-19,-0.1,-2,2.4,,,295,7.9,24.1,1021.4,
2019-02-20,0.6,-1.5,2.4,,,313,6.8,25.9,1024,
2019-02-21,2.4,0,4.3,,,322,11.1,50,1027.9,
2019-02-22,3.9,2.4,5,,,338,21.4,59.3,1029.3,
2019-02-23,4.7,3.3,6.8,,,324,11.9,42.6,1027.6,
2019-02-24,5.6,2.8,8.3,,,321,8.9,37,1028.6,
2019-02-25,6.6,5.2,10.6,,,310,7.9,31.5,1030.1,
2019-02-26,9,5.6,12.2,,,327,14.9,46.3,1028.8,
2019-02-27,9,6.3,11.6,,,317,11.3,40.8,1024.8,
2019-02-28,6.6,2.9,9.5,,,327,12.6,40.8,1020,
2019-03-01,0.1,-1.2,2.2,,,345,10.8,40.8,1018.2,
2019-03-02,0.6,-1.2,2.9,,,342,13.8,50,1018.9,
2019-03-03,0.8,-0.6,3,,,279,6.8,38.9,1018.6,
2019-03-04,-1.8,-4.2,-0.7,,,209,4,24.1,1012.8,
2019-03-05,-2.4,-4.6,-0.3,,,337,8.3,27.8,1015.6,
2019-03-06,-2.6,-3.4,-1.9,,,217,4.8,22.2,1017.5,
2019-03-07,-2.2,-3.2,-1.4,,,198,4.1,20.4,1011,
2019-03-08,-1,-2.8,2,,,323,4.7,18.5,1017.8,
2019-03-09,0.5,-1.9,2.5,,,329,5.6,29.6,1022.7,
2019-03-10,2.3,0.4,3.4,,,78,6.1,37,1018.4,
2019-03-11,-4.8,-8.3,-0.1,,,343,11.1,46.3,1022.8,
2019-03-12,-5.1,-7.6,-2.3,,,306,7.6,44.5,1026.1,
2019-03-13,-4.2,-5.6,-2.1,,,334,8.3,31.5,1017.2,
2019-03-14,-4.1,-5.3,-2.6,,,350,7.9,33.3,1016.6,
2019-03-15,0.4,-3.4,3.4,,,334,12.4,50,1014.7,
2019-03-16,4.6,2,7.9,,,319,12,48.2,1016.1,
2019-03-17,0.2,-2.9,2.9,,,229,4.8,35.2,1013.6,
2019-03-18,-4.4,-5.9,-3.1,,,336,17.3,51.8,1019.7,
2019-03-19,-3.8,-5.8,-1.4,,,335,15.4,42.6,1026.8,
2019-03-20,-2.8,-6,0.3,,,318,9.6,37,1031.1,
2019-03-21,-0.7,-4.5,3.1,,,286,4.3,20.4,1030.2,
2019-03-22,3,-0.1,6.7,,,281,5.5,25.9,1027.9,
2019-03-23,5,2.5,8.5,,,292,7.9,24.1,1025.5,
2019-03-24,4.9,2.3,7.9,,,287,6.9,33.3,1022.3,
2019-03-25,1.2,-4.8,4.2,,,338,16.3,61.1,1019.6,
