date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,0.9,-1.7,4.9,,,323,4.2,14.8,1028.7,
2019-01-02,-3.3,-5.8,-1.2,,,288,7.8,31.5,1033.9,
2019-01-03,-6.8,-8.8,-4.3,,,327,3.9,18.5,1034.7,
2019-01-04,-6.8,-9.8,-3.7,,,347,3.6,14.8,1033.2,
2019-01-05,-4.8,-6.6,-3.3,,,282,4.9,20.4,1031.7,
2019-01-06,-3.3,-4.7,-1.4,,,279,5.4,22.2,1031.4,
2019-01-07,-3.4,-4.9,0,,,346,3,9.3,1030.7,
2019-01-08,-2.6,-4.9,-1,,,276,7.1,24.1,1025.8,
2019-01-09,-5.1,-6.8,-2.6,,,263,9,29.6,1018.2,
2019-01-10,-7.9,-9.6,-6.2,,,301,3,14.8,1022.2,
2019-01-11,-8.7,-12.2,-6.3,,,345,2.8,7.4,1027,
2019-01-12,-4.4,-6.9,-1.8,,,284,4.2,16.7,1027.1,
2019-01-13,-1.3,-3,0.6,,,264,9.7,31.5,1020.1,
2019-01-14,-1,-2.7,0.6,,,262,12.4,40.8,1016.6,
2019-01-15,-3.2,-5.1,0.1,,,289,4.8,24.1,1023.3,
2019-01-16,-0.4,-5.9,5.1,,,49,7.4,22.2,1015.5,
2019-01-17,-0.9,-3.5,1.2,,,1,6.3,22.2,1014.2,
2019-01-18,-5.2,-7,-2.8,,,302,3.6,14.8,1018.3,
2019-01-19,-5.7,-8.9,-2.5,,,54,5.4,13,1015.8,
2019-01-20,-5.3,-8.2,-1.9,,,30,4.2,13,1015.5,
2019-01-21,-5.5,-8,-2.1,,,29,3.5,9.3,1018.9,
2019-01-22,-7.3,-10.5,-3.2,,,37,3.5,9.3,1011.2,
2019-01-23,-7.1,-9.2,-4,,,47,3.8,13,998.8,
2019-01-24,-9.2,-10.9,-6.6,,,319,2.8,9.3,1007.6,
2019-01-25,-9,-10.9,-6.4,,,306,3,11.1,1017.4,
2019-01-26,-3.9,-8.7,-0.1,,,296,3.5,11.1,1016,
2019-01-27,-2,-3.8,-0.4,,,349,5.7,25.9,999.8,
2019-01-28,-5,-5.9,-3.1,,,263,7.5,25.9,1006.6,
2019-01-29,-5.6,-7.2,-3.3,,,314,6.4,37,1008.7,
2019-01-30,-6.1,-9.7,-4.8,,,9,7.5,40.8,1002.6,
2019-01-31,-6.4,-9.7,-3.3,,,58,10.1,44.5,1001.1,
2019-02-01,-2.1,-3.8,-0.9,,,61,17.4,51.8,993.8,
2019-02-02,-1.5,-3.3,1.6,,,56,5.5,20.4,996.1,
2019-02-03,-3.6,-5.9,-2.7,,,280,6,24.1,1012.3,
2019-02-04,-5.2,-9.7,-0.7,,,42,3.8,20.4,1026.8,
2019-02-05,-1.9,-5,2.5,,,35,3.8,9.3,1025.7,
2019-02-06,-0.5,-4.7,4.7,,,53,4.4,11.1,1023,
2019-02-07,0.3,-1.8,3.8,,,332,4.6,13,1019.5,
2019-02-08,-1.6,-6.3,2.3,,,39,5.1,20.4,1021.2,
2019-02-09,1.5,-1.1,4.9,,,331,5.5,22.2,1018.7,
2019-02-10,1.3,-1.6,4.3,,,40,10.3,42.6,1011.8,
2019-02-11,-3.6,-4.9,-1.7,,,263,8.1,29.6,1023.6,
2019-02-12,-4.8,-8.2,-0.5,,,333,3.7,13,1034,
2019-02-13,-0.6,-5.3,4.9,,,38,4.6,13,1033.6,
2019-02-14,3.4,-0.6,9.1,,,43,4.7,13,1033.4,
2019-02-15,5.5,1.8,11.3,,,29,4.9,11.1,1030.1,
2019-02-16,5.4,1.3,11.2,,,27,5.3,11.1,1028.7,
2019-02-17,5.5,1.4,11.1,,,50,5.8,16.7,1024.9,
2019-02-18,5.2,1.6,10.3,,,55,6.8,18.5,1020.9,
2019-02-19,2.1,-1.3,6.8,,,23,4.1,11.1,1021.7,
2019-02-20,2.4,-2,7.3,,,9,4.5,16.7,1024.6,
2019-02-21,3.1,-0.9,8.1,,,359,4,11.1,1028.9,
2019-02-22,3.9,0.9,8.4,,,339,5.1,37,1030.7,
2019-02-23,4,0.6,8.8,,,33,4.6,13,1027,
2019-02-24,4,0.3,9.5,,,9,4.3,13,1029,
2019-02-25,5.5,2.3,11.1,,,49,4.6,11.1,1029.3,
2019-02-26,6.8,2,13.2,,,4,4.7,11.1,1029.6,
2019-02-27,7.6,3,14.2,,,11,4.4,11.1,1025.1,
2019-02-28,6.7,3.2,11.9,,,299,6.1,27.8,1022.3,
2019-03-01,1.8,-0.3,3.5,,,271,7.9,29.6,1021.2,
2019-03-02,0.6,-2.7,3.8,,,288,4.1,14.8,1020.9,
2019-03-03,2.8,-1.6,8.2,,,356,4.3,14.8,1018.7,
2019-03-04,2.8,-0.7,6.2,,,326,8.8,37,1011.3,
2019-03-05,0.7,-2,4.6,,,277,6.8,27.8,1016.7,
2019-03-06,3.1,-0.8,6.8,,,58,19.4,70.4,1010.5,
2019-03-07,2.8,0.2,4.3,,,353,12.9,64.8,1007.8,
2019-03-08,1.3,-1.5,4.7,,,295,5.4,25.9,1019.2,
2019-03-09,2.6,0,5,,,283,5.1,20.4,1025.1,
2019-03-10,3.9,1.8,5.8,,,273,9.7,37,1022.2,
2019-03-11,-2.1,-5.6,1.5,,,272,11.8,38.9,1026.5,
2019-03-12,-1.5,-7.3,4.4,,,305,4.8,20.4,1025,
2019-03-13,-0.4,-2.8,1.2,,,270,8.1,35.2,1018.5,
2019-03-14,-2.3,-3.7,-0.8,,,269,9.7,33.3,1020.2,
2019-03-15,1.8,-1,4.6,,,267,12.3,38.9,1020.5,
2019-03-16,5.8,1.4,12,,,272,6.3,18.5,1018.5,
2019-03-17,6.1,-0.9,12.5,,,335,9.3,40.8,1011,
2019-03-18,-1.3,-3.2,1.1,,,280,7.8,27.8,1022,
2019-03-19,-1.6,-6.1,3.2,,,356,6.3,27.8,1026.3,
2019-03-20,-0.3,-5.3,5.7,,,55,5.6,16.7,1029.4,
2019-03-21,3.7,-2.4,10.9,,,82,6.3,18.5,1027,
2019-03-22,6.4,0.7,13.5,,,26,5.8,16.7,1027.5,
2019-03-23,7.4,1.9,14.2,,,18,5.2,16.7,1025.8,
2019-03-24,7.9,2.6,13.8,,,337,5.8,22.2,1022.6,
2019-03-25,2.8,-1.5,6.3,,,305,8.4,44.5,1021.5,
2019-03-26,-0.7,-4.2,3.9,,,324,7.3,35.2,1027.1,
2019-03-27,0.8,-4.2,6.4,,,24,5.8,22.2,1026.2,
2019-03-28,2.8,-2,8.6,,,52,5.8,20.4,1027,
2019-03-29,5.2,0.6,10.6,,,53,8.3,25.9,1028.3,
2019-03-30,6.3,1.2,12.5,,,33,6.5,22.2,1023.9,
2019-03-31,6.6,1.5,12.7,,,29,5.9,22.2,1018.7,
2019-04-01,7.3,2.5,12.4,,,48,7.6,24.1,1016.3,
2019-04-02,7.4,4.7,11.1,,,55,11.3,37,1012.6,
2019-04-03,3.9,0.4,6,,,64,13.7,48.2,1002.7,
2019-04-04,-2.6,-3.7,0.1,,,244,5.5,18.5,999.8,
2019-04-05,-0.2,-5.3,6.5,,,314,4.3,13,1002.6,
2019-04-06,4.4,0.1,9,,,60,15.6,57.4,1001.5,
2019-04-07,2.7,0.6,4.5,,,261,7.5,37,1005.5,
2019-04-08,2.9,-0.2,7.4,,,270,4.5,18.5,1010.2,
2019-04-09,4.1,-0.2,9.1,,,349,4.9,22.2,1008.6,
2019-04-10,4,0.9,7.8,,,341,5.6,27.8,1007.9,
2019-04-11,3.4,1.3,6.1,,,350,6.2,29.6,1011,
2019-04-12,3.8,0.8,7.4,,,352,5.7,31.5,1013.9,
2019-04-13,1.9,-1,5.4,,,303,6.2,27.8,1015.8,
2019-04-14,-0.7,-3.7,1.5,,,280,6,29.6,1016.4,
2019-04-15,3.4,-2.6,9.7,,,67,8.6,38.9,1018.2,
2019-04-16,6,4,9,,,39,8.5,31.5,1018.6,
2019-04-17,7.4,2.9,12.7,,,55,5.7,22.2,1019.9,
2019-04-18,9.4,5.8,13.7,,,58,12.4,44.5,1021.2,
2019-04-19,9.7,7.1,13.4,,,56,12.9,37,1026.8,
2019-04-20,10.1,6.1,14.8,,,60,12.2,44.5,1026.2,
2019-04-21,10.6,7.4,14.4,,,60,15.8,46.3,1019.5,
2019-04-22,11,8.3,14.7,,,62,22.5,68.5,1008.9,
2019-04-23,9.2,7.3,11.3,,,62,22.8,59.3,1001.4,
2019-04-24,8.5,6.6,11.7,,,62,23.9,72.2,1005.2,
2019-04-25,8.4,6.5,11.8,,,63,27.9,83.3,1010.9,
2019-04-26,3.5,0.9,7.1,,,285,8.7,53.7,1016,
2019-04-27,3.1,1.1,5.7,,,267,7.1,27.8,1021.3,
2019-04-28,0.5,-0.8,1.5,,,263,7.7,27.8,1022.5,
2019-04-29,1.7,-1.8,5.6,,,297,7.4,38.9,1021.2,
2019-04-30,4.6,-0.2,9.9,,,330,6.5,31.5,1017.5,
2019-05-01,7.4,1.8,13.8,,,346,5.7,25.9,1014.1,
2019-05-02,6.6,4.1,11,,,291,5.5,22.2,1012.2,
2019-05-03,4.7,2.4,7.2,,,273,6.1,24.1,1010.8,
2019-05-04,3.6,0.4,6.3,,,276,6.9,33.3,1008.2,
2019-05-05,-1.6,-3,-0.1,,,307,13.4,46.3,1013.5,
2019-05-06,0.3,-4.1,5.9,,,294,7.1,29.6,1019.8,
2019-05-07,4,-2.2,10.4,,,35,5.2,16.7,1016.6,
2019-05-08,4.9,2,6.6,,,64,10.8,35.2,1010.2,
2019-05-09,3.5,0.6,6.3,,,319,5.8,25.9,1009.1,
2019-05-10,7.2,3,12.4,,,277,5.1,24.1,1012.6,
2019-05-11,6.7,2.3,9.4,,,293,8,38.9,1015.4,
2019-05-12,3.4,1,6.2,,,307,13.6,51.8,1024.8,
2019-05-13,4.6,0.2,10.2,,,1,7,38.9,1025.2,
2019-05-14,5.5,1.4,10.2,,,3,8.9,51.8,1020,
2019-05-15,4.3,-0.2,9.6,,,351,6.9,31.5,1016,
2019-05-16,5.7,1,10.2,,,3,5.6,20.4,1010.8,
2019-05-17,7.6,4.8,11.1,,,63,12.7,44.5,1006,
2019-05-18,7.2,4.5,10,,,64,7.9,25.9,1005.2,
2019-05-19,6.6,4.5,9.5,,,278,4.2,18.5,1004.6,
2019-05-20,5.8,4.9,6.8,,,268,6.2,16.7,1008.8,
2019-05-21,7.4,5.1,10.1,,,282,6.7,22.2,1014.2,
2019-05-22,8.9,4.8,13.5,,,298,5.9,27.8,,
2019-05-23,10.1,4.3,15.6,,,341,5.6,24.1,,
2019-05-24,11.3,6.6,15.7,,,334,5.8,24.1,,
2019-05-25,10.2,7.8,13,,,296,4.5,20.4,1015.6,
2019-05-26,9.5,5.8,13.9,,,302,4.7,20.4,1015.7,
2019-05-27,10.2,7,13.5,,,293,4.8,18.5,1011.3,
2019-05-28,6.9,4.1,9.1,,,268,7,24.1,1010.3,
2019-05-29,6.1,2.8,10,,,293,8.9,35.2,1018.7,
2019-05-30,8.4,2.8,14.2,,,304,6.9,31.5,1025.3,
2019-05-31,11.4,5.3,17.3,,,329,6.2,25.9,1024.8,
2019-06-01,14.4,8.3,20.2,,,322,5.8,22.2,1022.6,
2019-06-02,16.2,10,22.1,,,323,6,29.6,1020,
2019-06-03,16.6,12,21.5,,,348,6.1,24.1,1018.6,
2019-06-04,16.9,11.6,22.1,,,60,8,33.3,1014.4,
2019-06-05,16.9,13.7,21,,,61,13.5,46.3,1009.8,
2019-06-06,9.9,8.1,13.5,,,303,6.8,37,1012,
2019-06-07,12.3,7.1,17.6,,,62,15.1,63,1013.3,
2019-06-08,11.5,7.1,16.4,,,263,5.9,24.1,1022.4,
2019-06-09,11.3,7.6,13.8,,,62,9.2,37,1021.5,
2019-06-10,11.2,7.9,13.5,,,61,7.7,27.8,1013.3,
2019-06-11,8,6,10.6,,,47,5.1,20.4,1009.8,
2019-06-12,9.1,6.1,13.6,,,275,5.8,18.5,1010.7,
2019-06-13,11.6,6,17.4,,,102,5.9,24.1,1015.6,
2019-06-14,15.3,10.9,19.4,,,61,15.3,66.7,1015.8,
2019-06-15,13.9,9.6,17,,,325,8.4,44.5,1016.5,
2019-06-16,12.1,7.6,18.1,,,279,5.9,25.9,1020.4,
2019-06-17,15.1,8.2,21.2,,,13,6.2,24.1,1018.5,
2019-06-18,16.6,11.8,21.7,,,15,5.8,22.2,1017.6,
2019-06-19,17.1,12.4,21.8,,,38,6.2,24.1,1015,
2019-06-20,13.6,11.5,15.9,,,292,5,18.5,1016.2,
2019-06-21,12.5,9.3,15.4,,,18,5,16.7,1017.6,
2019-06-22,11.8,9.3,14.9,,,322,4.8,16.7,1017.5,
2019-06-23,15.6,8.7,22.6,,,324,5.6,20.4,1017.8,
2019-06-24,19.4,12.2,26.7,,,32,6,18.5,1020,
2019-06-25,22.7,16.9,28.6,,,46,8,24.1,1022.3,
2019-06-26,24,17.8,30.3,,,6,6.9,24.1,1025.6,
2019-06-27,24.7,18.2,31.3,,,354,7.7,29.6,1025,
2019-06-28,23.7,18,29.6,,,341,7.1,27.8,1021.9,
2019-06-29,22.3,16.2,27.6,,,28,7.3,25.9,1019.8,
2019-06-30,23.1,17.5,28.9,,,351,8,29.6,,
2019-07-01,21.6,17.7,26.3,,,341,6.3,22.2,,
2019-07-02,18,14.1,22.2,,,329,5.2,24.1,1019.9,
2019-07-03,16.3,12.8,20.2,,,0,5.5,22.2,1019,
2019-07-04,17,11.6,22.7,,,341,6.2,24.1,1020.2,
2019-07-05,18.8,12.5,25.7,,,316,6.1,24.1,1020.2,
2019-07-06,19,14,23.9,,,324,6.2,24.1,1016.8,
2019-07-07,16.2,13.7,19.9,,,294,6.4,29.6,1015.8,
2019-07-08,16.3,11.8,20.9,,,297,6.6,27.8,1016.8,
2019-07-09,15.8,11.6,20.2,,,313,6.2,25.9,1014.7,
2019-07-10,14.6,9.8,19.8,,,321,6.2,25.9,1015.7,
2019-07-11,14.5,10.4,17.8,,,323,5.7,18.5,1015.9,
2019-07-12,15.2,10.8,19.8,,,291,6.7,29.6,1016.5,
2019-07-13,14.9,11.8,18.8,,,285,8.9,38.9,1017.4,
2019-07-14,13.4,8.6,18.1,,,318,5.9,24.1,1014.3,
2019-07-15,10.9,8.1,14.1,,,358,5.9,20.4,1014,
2019-07-16,14.6,8.3,21.1,,,322,5.9,22.2,1017.1,
2019-07-17,16.4,10.7,21.5,,,324,6.2,29.6,1015.8,
2019-07-18,16.4,12.2,20.8,,,315,6.2,24.1,1015.4,
2019-07-19,16.9,11.5,22.2,,,319,5.5,20.4,1017.6,
2019-07-20,18.8,13.9,23.6,,,30,6.1,24.1,1018.8,
2019-07-21,18.4,13.7,23.8,,,304,6.1,27.8,1023.2,
2019-07-22,19.9,13.6,26.4,,,338,5.9,20.4,1025.3,
2019-07-23,21.6,15.4,27.6,,,353,5.9,22.2,1022.4,
2019-07-24,23.1,17.6,28.8,,,359,6.6,24.1,1020.3,
2019-07-25,22.8,18.1,28.2,,,34,6.8,25.9,1019.3,
2019-07-26,20.8,16.3,25.4,,,11,6.2,22.2,1015.4,
2019-07-27,14.8,12.8,16.4,,,0,5,16.7,1007,
2019-07-28,12,11.3,12.8,,,287,6.1,20.4,1005.5,
2019-07-29,14.6,9.6,21.1,,,262,5.1,18.5,1011.5,
2019-07-30,16.7,11.7,21.8,,,268,5.4,24.1,1015.7,
2019-07-31,15.2,12.2,19.4,,,257,6.6,25.9,1018.3,
2019-08-01,15.6,9.8,21.5,,,302,5.2,18.5,1017.7,
2019-08-02,14.4,12.5,16.8,,,305,5.5,24.1,1017.6,
2019-08-03,15.5,10.5,21.1,,,300,6.2,31.5,1018,
2019-08-04,16.6,10.4,22.7,,,323,5.6,18.5,1017.6,
2019-08-05,18.7,13.9,23.3,,,331,5.8,24.1,1017.6,
2019-08-06,17.6,13.6,21,,,0,4.8,20.4,1016.2,
2019-08-07,13.5,12.6,14.3,,,325,5.1,16.7,1014.4,
2019-08-08,16,11,22.3,,,326,5.1,18.5,1015.4,
2019-08-09,19.4,13.7,25,,,54,6.7,22.2,1016.3,
2019-08-10,17.4,14.6,20.1,,,295,5.5,22.2,1019,
2019-08-11,16.6,11.8,21.8,,,71,5.2,24.1,1017.6,
2019-08-12,12.4,9.4,13.7,,,298,4.4,13,1016.6,
2019-08-13,10.9,8.3,14.2,,,266,7.1,24.1,,
2019-08-14,11.6,6.7,17.4,,,282,5.2,18.5,,
2019-08-15,13.1,9.1,17.7,,,300,6.1,25.9,1018.8,
2019-08-16,13.5,8.9,19.2,,,282,4.7,14.8,1019.6,
2019-08-17,16.2,11.1,20.6,,,352,5.4,18.5,1017.3,
2019-08-18,19.8,15.2,24.8,,,56,7.9,27.8,1015.1,
2019-08-19,14.8,12.5,16.9,,,325,4.8,24.1,1019.3,
2019-08-20,11.6,8.4,13.4,,,310,4.2,16.7,1022.3,
2019-08-21,12.3,7.3,18.9,,,74,4.6,16.7,1023.7,
2019-08-22,15,10.1,20.7,,,10,5,18.5,1023.2,
2019-08-23,15.5,10.4,21,,,16,5.4,20.4,1023.1,
2019-08-24,16.5,11.9,22.1,,,15,5.8,20.4,1021.6,
2019-08-25,17.2,12.1,23.1,,,329,5.8,20.4,1021.1,
2019-08-26,17.7,12.2,23.8,,,341,5.5,20.4,1020.6,
2019-08-27,17.8,13,23.3,,,0,5.7,18.5,1020.3,
2019-08-28,16.8,14,20.3,,,22,4.9,22.2,1020.4,
2019-08-29,17.2,13.5,21.8,,,328,5.1,20.4,1022.5,
2019-08-30,17.6,12.4,23.3,,,339,5.3,20.4,,
2019-08-31,17.6,13.8,22.5,,,3,5.3,20.4,1019.7,
2019-09-01,15.2,12.6,18.8,,,305,5.1,16.7,1017,
2019-09-02,12.7,10.5,16.5,,,279,5,22.2,1019.8,
2019-09-03,12.8,7.7,18.8,,,316,5,16.7,1023,
2019-09-04,14.9,9.9,21,,,296,5.3,16.7,1019.5,
2019-09-05,11,7.1,13.8,,,299,5.9,27.8,1018.5,
2019-09-06,7.1,4.6,10.3,,,304,4.8,20.4,1020.4,
2019-09-07,8.6,5.8,12.4,,,275,5,22.2,1020.2,
2019-09-08,6.1,4.4,8.2,,,276,5.9,24.1,1017.2,
