,Datum,"Summe endverbrauchte Energie Regelblock Schweiz
Total energy consumed by end users in the Swiss controlblock","Summe produzierte Energie Regelblock Schweiz
Total energy production Swiss controlblock","Summe verbrauchte Energie Regelblock Schweiz
Total energy consumption Swiss controlblock","Positive Tertiär-Regelenergie
Positive tertiary control energy","Negative Tertiär-Regelenergie
Negative tertiary control energy","Durchschnittliche positive Tertiär-Regelenergie Preise
Average positive tertiary control energy prices","Durchschnittliche negative Tertiär-Regelenergie Preise
Average negative tertiary control energy prices","Produktion Kanton TI
Production Canton TI","Verbrauch Kanton TI
Consumption Canton TI","Produktion Kanton VS
Production Canton VS","Verbrauch Kanton VS
Consumption Canton VS",Transit,Import,Export
0,2009-01-05,1317329914.256,1198917844.974,1416182246.945,405234.0,-1895250.0,0.0,0.0,0.0,0.0,0.0,0.0,520039100.0,748859750.0,530311250.0
1,2009-01-12,1315925906.679,1187909234.389,1419110971.113,816500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566359750.0,805442750.0,572602500.0
2,2009-01-19,1267021061.932,1122777443.548,1390560600.096,325000.0,-11301900.0,0.0,0.0,0.0,0.0,0.0,0.0,575636750.0,844987500.0,576197750.0
3,2009-01-26,1286233493.166,1176537183.321,1395653947.65,1542000.0,-4376000.0,0.0,0.0,0.0,0.0,0.0,0.0,564866500.0,800834750.0,580598750.0
4,2009-02-02,1247285668.391,1106696456.876,1361746361.378,0.0,-7116250.0,0.0,0.0,0.0,0.0,0.0,0.0,529974650.0,786973350.0,530874250.0
5,2009-02-09,1272200361.4,1123650768.551,1385018909.838,786867.0,-3234750.0,0.0,0.0,0.0,0.0,0.0,0.0,575528500.0,837678500.0,576096750.0
6,2009-02-16,1280948449.629,1094180799.953,1396957834.361,900500.0,-3407334.0,0.0,0.0,0.0,0.0,0.0,0.0,577416500.0,880793250.0,577416500.0
7,2009-02-23,1218604855.077,1081600917.011,1327867009.911,0.0,-9980333.0,0.0,0.0,0.0,0.0,0.0,0.0,593785500.0,840661650.0,593785500.0
8,2009-03-02,1209303289.915,1107973894.889,1331236588.172,0.0,-14603750.0,0.0,0.0,0.0,0.0,0.0,0.0,542425650.0,766439450.0,542504250.0
9,2009-03-09,1179442619.316,1079769418.753,1300131355.788,0.0,-14905250.0,0.0,0.0,0.0,0.0,0.0,0.0,532292700.0,753367500.0,532300000.0
