date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,0.1,-3.3,5.2,0,0,119,4.3,17,1034.9,
2020-01-02,-0.7,-4.4,5.4,0,0,114,3.9,18,1033.5,
2020-01-03,1.6,-2.6,6.5,0,0,114,3.3,13,1031.4,
2020-01-04,3.1,-2,12.7,0,0,221,5,40,1033.3,
2020-01-05,0.7,-3.1,5.9,0,0,102,2.5,16,1035.5,
2020-01-06,0.2,-3.7,7.2,0,0,103,3,24,1033.2,
2020-01-07,1.3,-2.7,7.3,0,0,91,4.2,15,1032.1,
2020-01-08,1.7,-2.5,7.7,0,0,106,3.8,17,1034.2,
2020-01-09,2,-3,8.6,0,0,90,3.8,17,1027.6,
2020-01-10,2.8,-2.3,7.7,0,0,85,4.4,16,1026.6,
2020-01-11,2.7,-2.1,8.8,0,0,86,5.8,19,1033.5,
2020-01-12,0.2,-4.3,6.2,0,0,81,4.8,30,1032.1,
2020-01-13,0.1,-4.8,6,0,0,80,4.2,17,1026.7,
2020-01-14,1.8,-3.5,8.2,0,0,93,5.8,16,1023,
2020-01-15,2.6,-2.5,10.1,0,0,122,4.4,18,1025.1,
2020-01-16,1.9,-3.3,8.6,0,0,100,5.1,17,1031.3,
2020-01-17,1.7,-3.9,6.9,2.1,0,290,4.7,23,1026.6,
2020-01-18,2.4,-2.8,6.9,0,0,93,4.2,25,1029,
2020-01-19,-1.3,-4.7,3.4,0,0,122,2.8,16.7,1033.9,
2020-01-20,-1,-6.3,6.1,0,0,88,7.1,24,1041.4,
2020-01-21,0.8,-3.4,6.3,0,0,107,7.1,18,1040.9,
2020-01-22,1.4,-3.9,8.7,0,0,181,3.9,17,1035,
2020-01-23,0.6,-3.9,8.4,0,0,223,5,19,1030.7,
2020-01-24,-0.4,-4,4.1,0,0,229,3.7,21,1027.8,
2020-01-25,1.1,-3.7,7.1,0,0,131,3.4,15,1024.9,
2020-01-26,1.1,-4.3,5.2,0,0,131,3.1,21,1023.3,
2020-01-27,3.4,-1.5,8.6,10.6,0,70,5.4,15,1018.8,
2020-01-28,3.5,2.2,5.3,8.4,0,230,7,46,1011.8,
2020-01-29,5.2,-0.2,8,1.1,0,222,7.1,42,1016.3,
2020-01-30,3.8,-1,9.1,2,0,118,3.8,14,1021.8,
2020-01-31,6.7,2.6,13,0,0,114,2.9,13,1021.2,
2020-02-01,6.1,0.5,10.5,0,0,69,4.7,17,1019.4,
2020-02-02,7.1,5.3,8.4,28.2,0,121,3.1,15,1023.2,
2020-02-03,10.2,6.4,16.9,5.3,0,233,5.6,30,1023.1,
2020-02-04,5.7,1.6,16.7,2.6,0,249,14.2,57.4,1019,
2020-02-05,3.8,-1,8.2,0,0,240,13.1,46,1031.8,
2020-02-06,1.5,-2.6,6.6,0,0,114,5.6,23,1032.7,
2020-02-07,1.9,-3.4,9.8,0,0,107,4.7,24,1029.1,
2020-02-08,2.8,-2,9.4,0,0,125,5.3,24,1027.9,
2020-02-09,4.6,-2.6,12.1,0.5,0,92,6.3,32,1027,
2020-02-10,10.8,4.2,17.1,3.7,0,229,15.1,69,1015.7,
2020-02-11,9.4,4.8,11,0,0,261,20.6,69,1016.7,
2020-02-12,6,0,10.7,0,0,254,12,41,1023.8,
2020-02-13,2.2,-0.9,6.6,11.8,0,71,5.8,27,1020.2,
2020-02-14,6.8,2.1,12,0,0,167,10.4,45,1023.6,
2020-02-15,5.8,-0.9,13.4,0,0,98,5.4,18,1027.6,
2020-02-16,7.4,1.4,15.2,0,0,82,6.2,37,1024.5,
2020-02-17,7.4,1.5,13.6,0.1,0,255,11.3,52,1022.4,
2020-02-18,6.6,1.3,11.1,0,0,227,14.2,49,1029.5,
2020-02-19,4.1,-0.1,8.6,0.6,0,234,7.9,42,1028.6,
2020-02-20,5.4,-0.9,13.8,0,0,191,4.6,26,1025.9,
2020-02-21,7.7,2,12.9,0,0,244,12.5,48,1028.5,
2020-02-22,7.2,-0.3,16.2,0,0,121,4.8,22,1032.9,
2020-02-23,10.5,2.2,17.5,0,0,268,6.9,28,1030.2,
2020-02-24,10.5,3.9,18.8,0,0,117,5.1,28,1023.1,
2020-02-25,7.5,0.9,14.8,2.1,0,243,10.8,50,1010.8,
2020-02-26,2.8,0.9,8.1,1.3,0,249,13.7,50,1008.9,
2020-02-27,1.4,-1.4,6,11.6,0,244,8.4,44,1012.7,
2020-02-28,2.8,-1.8,6.4,0,100,90,4.8,46,1021.7,
2020-02-29,6.6,1.6,12.8,10.8,50,91,8.2,39,1011.7,
2020-03-01,5.8,1.5,12,2.8,0,101,5.8,39,1006.4,
2020-03-02,5,1.4,10.2,6.2,0,262,5.9,24,997.4,
2020-03-03,5.1,0.6,10.1,0,0,218,8.6,37,1006.2,
2020-03-04,5.3,0,10.5,1.4,0,224,4,24,1014.9,
2020-03-05,2.8,0.8,5.8,31.9,0,115,4.4,25,1007.6,
2020-03-06,5.8,1.9,10.9,0,0,232,9.9,41,1004.3,
2020-03-07,6,0.4,11.9,0,0,242,9.4,41,1019,
2020-03-08,5.2,-1.6,11.9,1.5,0,115,3.8,20.4,1022.8,
2020-03-09,6.4,1.3,10.8,0.1,0,249,12.1,49,1018.1,
2020-03-10,1.8,0.3,3.1,16.6,0,84,3.5,13,1025.8,
2020-03-11,8.2,2.8,16.3,0,0,97,4,22.2,1024.3,
2020-03-12,10.4,3.2,18.8,3.1,0,176,8.5,39,1019.7,
2020-03-13,9.3,6.1,11.8,0,0,251,18.3,65,1019.9,
2020-03-14,7.6,2.8,13.1,0,0,250,7.6,42.6,1020.6,
2020-03-15,8.7,0.8,17.5,0,0,82,7.5,39,1020,
2020-03-16,9.6,2.1,18.9,0,0,92,4.8,24.1,1022.8,
2020-03-17,10.6,2.5,19.1,0,0,132,7,37,1030,
2020-03-18,11.8,3.8,20.7,0,0,121,6.3,36,1027.9,
2020-03-19,12.2,4.7,20.7,0,0,169,6.7,35,1024.1,
2020-03-20,12.1,4.9,19.8,0,0,90,5.5,48,1020.8,
2020-03-21,11.5,4.3,18.6,0,0,112,9.6,40,1015.2,
2020-03-22,8,5.8,12.2,0,0,253,13.7,53,1017.8,
2020-03-23,6.4,1.8,10.2,0,0,253,13.7,53,1023.5,
2020-03-24,4.7,0,10.6,0,0,242,11.3,45,1023.1,
2020-03-25,4.3,-1.6,10.3,0,0,242,11.5,55,1017.9,
2020-03-26,5.7,-1.4,14.9,0,0,218,10.4,44,1012.8,
