date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,-3.2,-7.8,3.2,,,105,3.6,,1027.8,
2017-01-02,-2.9,-9.5,3,,,115,4.1,,1024.5,
2017-01-03,-0.9,-3.9,3,,,127,4.4,,1026.9,
2017-01-04,-0.9,-6,3.2,,,190,12,,1024.8,
2017-01-05,0.4,-4.2,3.1,,,251,14.7,,1025.9,
2017-01-06,-5.8,-8.9,-2,,,230,3.9,,1036.1,
2017-01-07,-6.5,-10.6,-3.2,,,171,2.7,,1037.1,
2017-01-08,-1.9,-4.6,0.2,0,,51,4,,1031.4,
2017-01-09,0.3,-1.2,3.7,0,,106,5.8,,1028.3,
2017-01-10,-0.7,-1.7,0.7,,,95,3.7,,1016.3,
2017-01-11,-0.1,-2.5,2,,,221,3.1,,1020.8,
2017-01-12,0.6,-2.8,2.2,,,109,4.1,,1018.4,
2017-01-13,0.8,-0.7,4.5,18.3,,239,11.3,,1009.1,
2017-01-14,-0.6,-3,2,2.5,,255,9.7,,1017.4,
2017-01-15,-4.4,-7.2,-1.4,0.3,30,146,2.7,,1024.7,
2017-01-16,-7.1,-9.9,-3,30,,113,3.1,,1024.2,
2017-01-17,-7.9,-11.3,-3.7,0,,101,4.4,,1026.4,
2017-01-18,-7.8,-12,-3,30,,116,4.3,,1029.7,
2017-01-19,-7.2,-12.1,-2.5,30,,192,4.6,,1033,
2017-01-20,-6.1,-10.2,-0.7,30,,182,3.1,,1033.6,
2017-01-21,-4.3,-11.4,2.1,30,,230,3.6,,1031.3,
2017-01-22,-1,-5.5,8.2,20.1,,88,8.9,,1026.8,
2017-01-23,-3.2,-5.8,0.7,20.1,,199,4.9,,1025,
2017-01-24,-3.2,-6.4,-1.7,0,,19,3.3,,1025.9,
2017-01-25,-4.2,-7.4,-0.5,,,180,4.2,,1027,
2017-01-26,-4.6,-9.2,0.2,,,188,4.8,,1026.2,
2017-01-27,1.9,-5.6,11,0,,128,3.6,,1023.5,
2017-01-28,3.3,-1,10.5,,,96,3.4,,1022.1,
2017-01-29,0.6,-4,7.5,,,123,3.5,,1025.7,
2017-01-30,2.4,-2.6,5.7,,,89,4.9,,1023,
2017-01-31,3.7,2,5.7,2.8,,83,2.6,,1020.1,
2017-02-01,5.6,2,11.6,0,0,116,2.3,,1018.5,
2017-02-02,6.2,0.5,15.6,0.1,0,105,4.6,,1015.2,
2017-02-03,6.7,1.5,12.8,0,0,250,5.5,,1010.1,
2017-02-04,2.4,-1.4,4.9,6.9,0,78,4.6,,1009.5,
2017-02-05,0.5,-1.7,1.9,5.6,0,88,4,,1008.4,
2017-02-06,3.3,0.6,10.4,0,10,19,6.4,,1014.3,
2017-02-07,3.8,2,7.1,3.2,0,145,4.2,,1018.8,
2017-02-08,3.4,2.5,4.3,3.4,0,125,3.1,,1018.8,
2017-02-09,3.5,0.6,8.9,0,0,227,5.7,,1020,
2017-02-10,2.3,0.3,6.2,0,0,215,5,,1019.8,
2017-02-11,3.2,-1.5,10.4,0,0,85,4.6,,1021.7,
2017-02-12,6.3,0.5,15.1,0,0,96,5.2,,1023.6,
2017-02-13,7.4,1.4,16,0,0,99,6.4,,1024.5,
2017-02-14,7,1.3,16.3,0,0,105,4.5,,1029.8,
2017-02-15,5.3,-1.2,14,0,0,161,4.1,,1036.6,
2017-02-16,5.2,-0.8,13.3,0,0,126,4.7,,1034.5,
2017-02-17,4.6,0.4,10.4,0.2,0,226,6.1,,1029,
2017-02-18,3.8,-0.8,12.2,0,0,122,5.5,,1026.4,
2017-02-19,3.4,-2.7,11.7,0,0,137,5.2,,1027.2,
2017-02-20,4.7,-2.6,12.7,0,0,190,5.1,,1026.5,
2017-02-21,7.2,3,11.6,0,0,139,4.1,,1024,
2017-02-22,7.6,1.5,15.6,0,0,203,6.3,,1020.6,
2017-02-23,10.7,0.5,21.4,0.2,0,184,11,,1012.3,
2017-02-24,8.1,2.9,13.9,0,0,251,25.4,,1011.9,
2017-02-25,3.9,-0.9,12.1,0,0,86,6.7,,1022,
2017-02-26,5.6,-1.5,13.9,0,0,61,4.5,,1020.3,
2017-02-27,9.5,2.7,18.8,1.8,0,83,7.6,,1010.5,
2017-02-28,5.1,2.9,8.4,17.9,0,201,6.4,,1004.4,
2017-03-01,4.6,2.4,7.9,7.7,0,100,5.4,,1014.9,
2017-03-02,5.5,2.8,11,1.3,0,121,6.8,,1019,
2017-03-03,7.7,2.1,15,0,0,89,8.3,,1014.5,
2017-03-04,9.1,3.2,14.9,0.7,0,64,19.3,,999.5,
2017-03-05,5.7,1.2,12.7,4.9,0,95,4.7,,1008.8,
2017-03-06,4.1,1.1,7.4,27.4,0,212,7.1,,1009.3,
2017-03-07,3.7,0.1,7.6,1.4,0,249,11.6,,1018.5,
2017-03-08,3.4,-1.4,7.5,6.2,0,99,3.6,,1027.9,
2017-03-09,6.6,4.3,9.4,0.8,0,90,3.7,,1026.6,
2017-03-10,10.3,4.5,17.4,0,0,228,7.3,,1023.8,
2017-03-11,8.2,1.7,17.5,0,0,94,5.4,,1021.6,
2017-03-12,9.5,2.7,17,0,0,221,6.7,,1014.3,
2017-03-13,9.6,2.9,18.3,0,0,141,6.1,,1021.7,
2017-03-14,9.5,2,18.1,0,0,102,6.7,,1030.6,
2017-03-15,9.9,2.8,18.7,0,0,102,5.5,,1029.7,
2017-03-16,10.4,3.2,19.5,0,0,149,6.9,,1024.4,
2017-03-17,12.4,3.9,22.7,0,0,173,8.3,,1019.7,
2017-03-18,9.2,6.7,11.8,9.7,0,243,7.3,,1018.9,
2017-03-19,12.2,8.5,17.9,0,0,266,7.3,,1016.7,
2017-03-20,12.1,5.4,19.7,0,0,130,7.9,,1013.4,
2017-03-21,11.8,7.4,17.3,0,0,241,10.1,,1011.1,
2017-03-22,9.8,7.1,13.2,1.3,0,249,12.5,,1010.5,
2017-03-23,11.7,5.5,19.3,0,0,107,10.7,,1012.2,
2017-03-24,13.4,8.1,19.7,0,0,83,7.3,,1019,
2017-03-25,13.4,5.7,21.5,0.2,0,77,17.4,,1017.4,
2017-03-26,9.3,7,13.9,0,0,254,13.4,,1020,
2017-03-27,11.6,5.1,19.8,0,0,79,9.7,,1021.2,
2017-03-28,12.2,5.2,20.8,0,0,172,8.7,,1024.4,
2017-03-29,13.2,5.6,21.8,0,0,99,7.3,,1026.6,
2017-03-30,13.6,5.8,22.6,0,0,115,6.8,,1025.6,
2017-03-31,14.6,7.3,23.4,0,0,91,8.1,,1019.8,
2017-04-01,11.8,6.9,18.4,0.3,0,248,14.5,,1012.7,
2017-04-02,11.4,7,16.2,0,0,216,7.4,,1016.5,
2017-04-03,12.8,6,21.1,0.2,0,176,9.6,,1021.1,
2017-04-04,12.4,5.9,18.4,0,0,217,6,,1020.5,
2017-04-05,12.3,7.1,18.2,0,0,228,10.2,,1019.2,
2017-04-06,11.3,4.1,18.8,0,0,214,11.5,,1020,
2017-04-07,11.8,3.7,20.3,0,0,280,7.2,,1022,
2017-04-08,14.3,5.4,22.6,0,0,170,8.4,,1021.4,
2017-04-09,16.3,6.9,25.5,0,0,123,6.7,,1022.8,
2017-04-10,16.8,8,26.2,0,0,159,7.7,,1021.2,
2017-04-11,14.4,9.3,20.5,0,0,241,14.2,,1019.4,
2017-04-12,13.9,6.1,21.5,0,0,259,9.6,,1019.3,
2017-04-13,15.1,5.5,23.8,0,0,273,9.3,,1014.6,
2017-04-14,14.4,5.9,22.4,0,0,227,12.4,,1014.3,
2017-04-15,13.7,6.7,18.1,0,0,239,12.3,,1016.3,
2017-04-16,11.9,9.5,17.7,0,0,256,19.6,,1019.3,
2017-04-17,11.4,3.6,17,0,0,238,13.6,,1018.1,
2017-04-18,7.7,0.9,12.3,0,0,284,16.2,,1019.7,
2017-04-19,5.1,-1.5,11.4,0,0,247,6.6,,1025.8,
2017-04-20,6.4,-1.7,14,0,0,213,10.3,,1028.5,
2017-04-21,8.5,-0.3,17.2,0,0,200,12,,1029.2,
2017-04-22,12.5,2.2,21.9,0,0,200,11.1,,1023.2,
2017-04-23,13.2,4.6,20.9,0,0,245,16.1,,1018.2,
2017-04-24,14.2,4.4,23.5,0,0,209,8,,1015.1,
2017-04-25,12.8,9.5,20.4,13.5,0,237,10.2,,1008.3,
2017-04-26,9.4,6.6,13.9,4.2,0,261,13,,1006.7,
2017-04-27,5.7,3.8,8,0.8,0,259,17.4,,1012.2,
2017-04-28,6.4,2.1,12.2,0,0,249,21.1,,1013.7,
2017-04-29,8.7,0.5,18,0,0,117,6.1,,1017.6,
2017-04-30,12,3.4,19.3,1.8,0,86,12.2,,1011.8,
2017-05-01,8.4,3.8,13.1,8.9,0,246,13.5,,1013.6,
2017-05-02,7.8,2.7,13.4,2.8,0,90,4.7,,1017.8,
2017-05-03,10.8,6.3,16.8,0,0,250,9.8,,1017.4,
2017-05-04,10.2,5.9,15.2,0.1,0,229,10.5,,1015.9,
2017-05-05,12.8,3.6,22.9,0.1,0,156,6.3,,1016.5,
2017-05-06,12.9,9.8,20.4,5.5,0,143,9.7,,1012.7,
2017-05-07,11.6,9.1,16.5,1.3,0,259,11.1,,1017.4,
2017-05-08,11.9,7.5,17.6,0.1,0,250,17.8,,1016.7,
