date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-01,-2.2,-5.7,1.8,,,96,3.9,,1027.5,
2000-01-02,-1.7,-5.9,3.9,,,94,5.6,,1028.7,
2000-01-03,-1.5,-5.7,5,,,,2.7,,1031.3,
2000-01-04,-1.2,-5.6,5.1,,,,3.1,,1025.5,
2000-01-05,-0.3,-3.8,4.8,,,,2.9,,1024.1,
2000-01-06,,,,,,,,,,
2000-01-07,0.5,-2.4,5.7,,,,3.4,,1026,
2000-01-08,0,-4.8,5.8,,,,2.5,,1026.1,
2000-01-09,1.2,-2,5.1,,,,2.6,,1025.4,
2000-01-10,,,,,,,,,,
2000-01-11,1.2,-2.1,5.7,,,128,3.2,,1035.3,
2000-01-12,-0.3,-3.8,2.6,,,,3.8,,1033.7,
2000-01-13,1,-1,2.1,,,,3.7,,1028.1,
2000-01-14,0,-4.1,3.4,,,88,6.9,,1025.8,
2000-01-15,2.1,-1.6,8.1,,,,3.1,,1025.9,
2000-01-16,,,,,,,,,,
2000-01-17,,,,,,,,,,
2000-01-18,,,,,,,,,,
2000-01-19,8.4,1.7,13.5,,,122,12.8,,1017.5,
2000-01-20,1.1,-2.7,6.6,,,146,4,,1025.9,
2000-01-21,5.1,-4.3,14.8,,,115,12.2,,1017.5,
2000-01-22,4.9,-0.2,9.5,,,52,11.2,,1011.7,
2000-01-23,4,-3.7,10.6,,,98,8.3,,1006.5,
2000-01-24,2.4,-2.4,8.6,,,89,9.2,,1013.3,
2000-01-25,-0.6,-3.5,1.6,,,127,6.9,,1026.8,
2000-01-26,,,,,,,,,,
2000-01-27,-2.4,-7.6,4.5,,,,4.5,,1031.6,
2000-01-28,-1.5,-7,5.6,,,120,4.4,,1025.6,
2000-01-29,-1.5,-6.2,4,,,94,3.1,,1020.7,
2000-01-30,5.4,-3.3,13.1,,,96,13.4,,1018.3,
2000-01-31,4.1,-1.4,12.4,,,,3.3,,1024.7,
2000-02-01,3.8,-0.9,9.3,,,,3.5,,1029,
2000-02-02,5.8,2.9,9.9,,,100,4.9,,1022.5,
2000-02-03,,,,,,,,,,
2000-02-04,4.7,-1.3,11.3,,,105,5,,1036.5,
2000-02-05,3.1,-1.2,9.9,,,,3.5,,1034.5,
2000-02-06,3.1,-1.5,9.5,,,,2.9,,1030.5,
2000-02-07,4,-0.7,10.5,,,,3.2,,1024.5,
2000-02-08,4.6,-0.6,10.9,,,155,3.8,,1020.5,
2000-02-09,7.5,1.4,14.4,,,133,13,,1019.4,
2000-02-10,5.8,0.4,11.3,,,242,7.1,,1025.5,
2000-02-11,4.4,0.1,7.8,,,,3.7,,1024.6,
2000-02-12,5,0.1,10.8,,,,5.1,,1024.8,
2000-02-13,3.4,-2.5,11.5,,,,3.9,,1022.6,
2000-02-14,4.5,-2,13.6,,,,3.3,,1019.6,
2000-02-15,4.5,-1.2,10.8,,,213,3.9,,1019,
2000-02-16,5.4,2.9,8.4,,,145,5.1,,1009.3,
2000-02-17,3.2,-2,8,,,99,7.9,,1008.6,
2000-02-18,2.3,-2.5,7.5,,,,7,,1015.3,
2000-02-19,5.6,0.5,13.5,,,132,7.5,,1008.6,
2000-02-20,6.3,0,12,,,7,13.9,,1016.6,
2000-02-21,5.1,0.3,11.7,,,,11.3,,1024.3,
2000-02-22,2.7,-3.7,8.9,,,,4.2,,1025.5,
2000-02-23,2,-2.5,8.5,,,126,4.3,,1026,
2000-02-24,2,-3.9,9,,,132,4.7,,1029.5,
2000-02-25,3.2,-2.6,10.5,,,102,3.6,,1028.9,
2000-02-26,4.7,-1.8,11.1,,,,4.3,,,
2000-02-27,4.4,-0.5,9.9,,,,4.5,,1032.3,
2000-02-28,4.5,-0.7,9.6,,,,3.8,,1032.7,
2000-02-29,5.9,4.6,6.6,,,,3.5,,1026.1,
2000-03-01,5.8,4.2,8.1,,,93,4.2,,1009.3,
2000-03-02,9.1,3.9,13.2,,,250,14.4,,1015.9,
2000-03-03,3.4,-2.4,10.5,,,,2.8,,1020.7,
2000-03-04,6.4,-1.2,16.5,,,39,8.6,,1015,
2000-03-05,7.9,-0.5,13.9,,,110,13.6,,1025.8,
2000-03-06,4.4,-1.8,11.9,,,167,4.8,,1033.3,
2000-03-07,4.3,-2.1,13.4,,,133,4,,1030,
2000-03-08,6.6,-1.8,14.4,,,135,3.8,,1027,
2000-03-09,13,3.2,26.1,,,256,5,,1021.9,
2000-03-10,,,,,,,,,,
2000-03-11,11.3,4.1,17.4,,,,5.8,,1017.7,
2000-03-12,8.6,2.3,14.5,,,275,6.9,,1019.5,
2000-03-13,8.7,2.3,16.8,,,125,4.2,,1023.9,
2000-03-14,9.9,3.6,16.6,,,170,4.5,,1021.7,
2000-03-15,,,,,,,,,,
2000-03-16,,,,,,,,,,
2000-03-17,13.3,5,20,,,175,7,,1016.9,
2000-03-18,13.5,8.3,19.6,,,196,11.3,,1015.6,
2000-03-19,11.4,6,17.5,,,289,10,,1020.8,
2000-03-20,9,6.2,12.1,,,56,9.7,,1023.5,
2000-03-21,7.8,0.2,15.1,,,267,5.2,,1021.5,
2000-03-22,8.2,0.9,16.5,,,,4.9,,,
2000-03-23,8.6,1.4,14,,,,3.1,,1019,
2000-03-24,9.4,7,12.6,,,,3.4,,1016.8,
2000-03-25,10.5,3.3,15.3,,,283,6.1,,1016.8,
2000-03-26,7.5,6.1,11.7,,,84,9.2,,1013.2,
2000-03-27,7.6,3.3,10.6,,,,6.6,,1003.7,
2000-03-28,8,6.2,12,,,264,6.5,,1008.1,
2000-03-29,6,4,9.1,,,,3.9,,1006.6,
2000-03-30,7.9,2.8,14,,,249,4.5,,1009.6,
2000-03-31,8.9,2.6,15.8,,,89,9.2,,1009.6,
2000-04-01,9.5,6.1,14.5,,,259,6,,1004.9,
2000-04-02,6.9,2.4,9.3,,,134,5.9,,1009.3,
2000-04-03,7.1,6.3,7.7,,,,3.3,,1004.5,
2000-04-04,,,,,,,,,,
2000-04-05,10.2,3.2,19.2,,,98,6.2,,999.7,
2000-04-06,13.2,5.9,20.2,,,146,11.4,,1010.7,
2000-04-07,10.9,7,14.6,,,209,12,,1022.5,
2000-04-08,9.4,1.6,17.4,,,,4.3,,1021,
2000-04-09,9.4,5.9,14.2,,,248,7.6,,1015,
2000-04-10,8.9,6.7,12.4,,,,3.8,,1010.6,
2000-04-11,9.1,5.9,11.3,,,252,4.2,,1003.1,
2000-04-12,9.3,7.2,12,,,258,7.9,,997.4,
2000-04-13,9.2,7.5,10.7,,,294,4.1,,1003.8,
2000-04-14,10.3,9.5,12.2,,,,4,,1007.3,
2000-04-15,9,5.7,10.1,,,220,6.5,,1004.6,
2000-04-16,7.4,2.9,10.3,,,,4.7,,1008.9,
2000-04-17,7.4,6.5,8.6,,,112,9,,1009.1,
2000-04-18,7.7,7.2,8.1,,,73,8.3,,1010.2,
2000-04-19,13.5,7.6,21.2,,,92,11.2,,1007.4,
2000-04-20,16,10.3,23.4,,,79,6.5,,1012.2,
2000-04-21,,,,,,,,,,
2000-04-22,16,9.5,23.7,,,,3.8,,1016.3,
2000-04-23,15.1,9.4,19.7,,,238,6.8,,1013.6,
2000-04-24,,,,,,,,,,
2000-04-25,14.8,5.7,21.7,,,359,5.2,,1012,
2000-04-26,15.3,8.5,21.8,,,,4.5,,1014,
2000-04-27,14.7,9.2,19.8,,,,4.3,,1014.4,
2000-04-28,13.5,12.2,15.1,,,263,7,,1012.6,
2000-04-29,12.1,10.6,13.6,,,,3.9,,1016.3,
2000-04-30,15.2,11.6,19.4,,,132,3.8,,1019.4,
2000-05-01,17.2,10.5,24.5,,,,4.8,,1014.9,
2000-05-02,16.5,11.5,21.2,,,,4.8,,1014.5,
2000-05-03,17.1,11.7,22.4,,,,6,,1017.2,
2000-05-04,16.9,12.3,23,,,238,4.6,,1017.2,
2000-05-05,15.5,12,19.3,,,,5.4,,1015.7,
2000-05-06,14.2,13.1,15.1,,,92,5.7,,1017.9,
2000-05-07,,,,,,,,,,
2000-05-08,15.9,14.1,18.8,,,,3.6,,1019.9,
2000-05-09,16.8,10.7,23.1,,,256,5,,1020.8,
2000-05-10,17.4,15.6,20.5,,,270,6,,1019.7,
2000-05-11,18.9,16.4,23.5,,,230,6.1,,1018.1,
2000-05-12,17.9,16.2,21.5,,,353,5.9,,1017.6,
2000-05-13,17.2,11.9,22,,,244,5.6,,1018.4,
2000-05-14,19.2,14.9,23.8,,,280,5.4,,1020.6,
2000-05-15,20.8,16.2,26.2,,,288,5.7,,1020.7,
2000-05-16,20.5,14.7,26.2,,,,6.2,,1018.7,
2000-05-17,18.9,14.8,23,,,235,6.5,,1015.2,
2000-05-18,16.7,15.1,20.7,,,,6.6,,1009.6,
2000-05-19,18.1,12.8,24.1,,,99,9.3,,1005.8,
2000-05-20,18.3,13.5,23,,,121,11.4,,1006.6,
2000-05-21,14.7,12.1,16.8,,,274,6.2,,1011.8,
2000-05-22,18.4,11.9,24.8,,,110,10.1,,1010.7,
2000-05-23,17.4,10.9,23.2,,,220,7.4,,1017.2,
2000-05-24,16.5,14.6,18,,,205,2.9,,1018.5,
2000-05-25,18.4,14.6,23.6,,,229,5.5,,1016.4,
2000-05-26,17.5,15.9,19.6,,,,3.9,,1017,
2000-05-27,17.3,15.7,20.8,,,206,5.6,,1015.2,
2000-05-28,16.2,15.2,17.7,,,112,4.7,,1013.3,
2000-05-29,18.8,13.8,24.1,,,,8.7,,1009.5,
2000-05-30,15.6,11.6,18.7,,,184,8.3,,1016.2,
2000-05-31,18.7,14,26.1,,,141,6.2,,1013.7,
2000-06-01,19,12.6,24.4,,,222,7.1,,1022,
2000-06-02,20.9,17.3,25.7,,,266,5,,1022.2,
2000-06-03,22.1,17.8,26.6,,,,4.6,,1019.1,
2000-06-04,22.5,18.4,27.8,,,163,7.2,,1018.1,
2000-06-05,21.4,18.3,25.8,,,259,5.8,,1017.4,
2000-06-06,20.5,18.1,24.4,,,,7.5,,1013.6,
2000-06-07,20.9,13.4,27.6,,,96,8.8,,1014.6,
2000-06-08,17.6,15.4,20.6,,,84,5.8,,1020.8,
2000-06-09,20.3,15,26.1,,,248,5.1,,1018.6,
2000-06-10,21.7,16.9,27.6,,,259,7.2,,1015,
2000-06-11,18.5,17.2,20.3,,,,4,,1016.3,
2000-06-12,20.1,16.6,24.8,,,70,5.5,,1020.5,
2000-06-13,20.9,17.7,25.8,,,72,9.1,,1023.1,
2000-06-14,20.4,16.2,27.6,,,73,6.9,,1021.8,
2000-06-15,22.5,16.9,29.4,,,194,9.7,,1018.4,
2000-06-16,23.6,16.1,30,,,122,11.5,,1016.6,
2000-06-17,22.4,14.9,26.4,,,242,9.9,,1021,
2000-06-18,22,19.3,25.9,,,260,6.7,,1026.7,
2000-06-19,21.3,14.9,27.4,,,249,5.7,,1024,
2000-06-20,21.8,14.2,28.5,,,,4.4,,1019.7,
2000-06-21,22.2,13.6,29.7,,,,3.9,,1017.8,
2000-06-22,22.5,15.6,28.2,,,272,5.2,,1017.2,
2000-06-23,21.7,17.9,26.3,,,261,7.7,,1014.9,
2000-06-24,18.5,14,24,,,,6.4,,1012.8,
2000-06-25,20.1,13.9,26.1,,,108,14.1,,1010.8,
2000-06-26,19.9,13.9,25.6,,,154,8.4,,1015.7,
2000-06-27,20.4,14.1,26.1,,,195,6.6,,1016.5,
2000-06-28,19.9,16.8,25.5,,,101,6.7,,1012.6,
2000-06-29,19.9,13.3,25.9,,,,6.3,,1013,
2000-06-30,20.7,15,26.5,,,,4.3,,1013.3,
2000-07-01,21.9,19,25.3,,,265,4.4,,1013.4,
2000-07-02,23.1,19.5,28.4,,,225,5.3,,1015.4,
2000-07-03,23.8,21.5,26.8,,,264,4.6,,1012.1,
2000-07-04,21.2,18.8,23,,,104,10.5,,1007.1,
2000-07-05,22.2,16.2,28.9,,,100,8.7,,1011.2,
2000-07-06,22.5,15.9,29.2,,,295,5.3,,1016,
2000-07-07,22.5,18.2,26.2,,,242,6.4,,1011.6,
2000-07-08,23.6,16.8,30.5,,,9,11.4,,1004.6,
2000-07-09,20.2,12.4,24.8,,,215,11.4,,1008.9,
2000-07-10,17.6,16.2,19.1,,,259,4.1,,1003.7,
2000-07-11,15.7,12.6,21,,,123,17.5,,999.2,
2000-07-12,16.5,10.2,23.4,,,14,7.7,,1008.4,
2000-07-13,17.9,11.5,24.6,,,95,10.4,,1013.5,
2000-07-14,16.6,11.2,21.4,,,,4.7,,1008.2,
2000-07-15,18.5,11.4,25,,,121,9.1,,1003.6,
2000-07-16,18.3,11.6,25.4,,,,7.8,,1009,
2000-07-17,18,13.4,23.5,,,125,8.2,,1015.3,
2000-07-18,18.5,10.7,25.2,,,,5,,1015.8,
2000-07-19,20.7,14.1,26.7,,,119,5.7,,1013.6,
2000-07-20,20.5,15.3,26.5,,,232,7,,1014.7,
2000-07-21,21.4,14.2,27.5,,,,5.4,,1016.6,
2000-07-22,22.2,18.4,27.8,,,188,5.2,,1015.6,
2000-07-23,20.4,18.1,22.5,,,,3.4,,1015.6,
2000-07-24,18.7,16.9,19.7,,,280,5.8,,1011.3,
2000-07-25,19.8,15.2,24.7,,,237,5.8,,1009,
2000-07-26,21,17.5,26.1,,,208,7.4,,1010.2,
2000-07-27,21,15.3,26.5,,,216,4.2,,1014.5,
2000-07-28,21.7,18.4,27.4,,,101,8.6,,1011,
2000-07-29,19.8,12.6,27,,,107,9.7,,1013.6,
2000-07-30,21.2,13.6,28.5,,,108,11.5,,1017.3,
2000-07-31,20.6,13.3,27.2,,,219,6,,1021.7,
2000-08-01,,,,,,,,,,
2000-08-02,21.5,17.9,26.2,,,,5,,1020,
2000-08-03,18.9,17.7,20.6,,,,4.9,,1017.9,
2000-08-04,17.6,15.9,20.5,,,75,8.9,,1016.6,
2000-08-05,17.5,15.1,22.2,,,277,7.6,,1016,
2000-08-06,18.6,16.3,22.2,,,252,4.1,,1015.8,
2000-08-07,20.9,13.3,28.6,,,,7.8,,1016.7,
2000-08-08,20.4,13.8,26.8,,,176,5.1,,1018,
2000-08-09,21.5,17.2,27.1,,,223,7,,1018.7,
2000-08-10,22.1,16.6,27.4,,,,5,,1017.9,
2000-08-11,22.7,16.7,28.1,,,,4,,1014.7,
2000-08-12,23.7,18.9,28,,,,5.2,,1013.2,
2000-08-13,,,,,,,,,,
2000-08-14,23.1,16.8,29,,,,4.3,,1018.4,
2000-08-15,23.5,17.4,29.2,,,,3.5,,1018.6,
2000-08-16,,,,,,,,,,
2000-08-17,22.9,18.9,29.6,,,,6.1,,1015.7,
2000-08-18,21.8,16.1,27.3,,,162,5.9,,1016.3,
2000-08-19,23.4,18.8,29.7,,,94,6.6,,1017.7,
2000-08-20,23.9,19.8,28.9,,,,4.1,,1016.7,
2000-08-21,23.1,18.1,28.3,,,220,5.3,,1014.1,
2000-08-22,22.2,16.8,28,,,144,7.5,,1013.8,
2000-08-23,22.6,17.3,28.4,,,,3.6,,1016.5,
2000-08-24,22.8,17,28.6,,,93,4.6,,1018.7,
2000-08-25,22.3,15.3,30.3,,,171,4.2,,1016.4,
2000-08-26,20.9,12.7,28.4,,,201,3.8,,1013.6,
2000-08-27,20.1,18.7,22.1,,,107,7.5,,1013.1,
2000-08-28,20,13.4,26.2,,,234,4.7,,1016.1,
2000-08-29,20.2,17.4,25.6,,,213,4.6,,1018.6,
2000-08-30,17.4,14.3,19.7,,,138,3.6,,1016.7,
2000-08-31,17.1,15.7,18,,,86,7.3,,1009.4,
2000-09-01,,,,,,,,,,
2000-09-02,19.5,14.3,25.1,,,,3.4,,1006.3,
2000-09-03,19.2,12.2,27.2,,,97,8.9,,1008.1,
2000-09-04,18.3,12.3,24.8,,,101,11.6,,1012.2,
2000-09-05,16.4,8.7,23.7,,,,6.9,,1017.8,
2000-09-06,16.1,10.6,22.9,,,164,4.5,,1017,
2000-09-07,19.1,12.5,27,,,107,8.1,,1010.1,
2000-09-08,17.2,9.6,23.6,,,,6.9,,1019.5,
2000-09-09,17,10.7,23.8,,,196,4.8,,1024.3,
2000-09-10,18.3,12.7,24.1,,,,4,,1021.2,
2000-09-11,19.5,13.7,25.7,,,,3.4,,1015.9,
2000-09-12,19.9,16.6,25.1,,,,2.9,,1014.9,
2000-09-13,19.7,15.8,25.2,,,,4,,1013.8,
2000-09-14,19.5,14.1,25.2,,,224,4.1,,1015.2,
2000-09-15,20.6,16.5,26.1,,,,3.9,,1015.6,
2000-09-16,19.4,16.1,21.1,,,,3.4,,1011.9,
2000-09-17,17.5,11.8,23.7,,,89,9.4,,1008.2,
2000-09-18,15,11.5,19.2,,,132,3.9,,1009,
2000-09-19,16.7,15.4,18.5,,,,3.6,,1008.9,
2000-09-20,18.4,16.2,23.7,,,108,10.9,,1004.6,
2000-09-21,16.5,11.8,23.1,,,98,10.6,,1009.8,
2000-09-22,15.1,8,23.5,,,,4,,1018.9,
2000-09-23,15.2,8.2,21.5,,,180,4,,1021,
